ID,front/title,front/icon,front/description,back/title,back/icon,back/description
chinese-essencial-in-communication-3-scenery,风景,,fēngjǐng,scenery,🏞️,山上的**风景**很美。 (Shānshàng de **fēngjǐng** hěn měi.) The **scenery** on the mountain is beautiful。
chinese-essencial-in-communication-3-beautiful,美,,měi,beautiful,💖,这朵花很**美**。 (Zhè duǒ huā hěn **měi**.) This flower is very **beautiful**。
chinese-essencial-in-communication-3-air,空气,,kōngqì,air,💨,**空气**非常清新。 (**Kōngqì** fēicháng qīngxīn.) The **air** is very fresh。
chinese-essencial-in-communication-3-fresh,新鲜,,xīnxian,fresh,🌱,我喜欢吃**新鲜**的水果。 (Wǒ xǐhuān chī **xīnxian** de shuǐguǒ.) I like to eat **fresh** fruit。
chinese-essencial-in-communication-3-regrettable,可惜,,kěxī,regrettable,😔,**可惜**我不能去。 (**Kěxī** wǒ bù néng qù.) It's **regrettable** that I can't go。
chinese-essencial-in-communication-3-to-climb-a-mountain,爬山,,pá shān,to climb a mountain,⛰️,我们周末去**爬山**吧。 (Wǒmen zhōumò qù **pá shān** ba.) Let's **climb a mountain** on the weekend。
chinese-essencial-in-communication-3-auxiliary-word,了,,le,(auxiliary word),✅,我吃完饭**了**。 (Wǒ chī wán fàn **le**.) I finished eating **(auxiliary word)**。
chinese-essencial-in-communication-3-to-stop,停,,tíng,to stop,🛑,请**停**车！ (Qǐng **tíng** chē!) Please **stop** the car!
chinese-essencial-in-communication-3-to-picnic,野餐,,yěcān,to picnic,🧺,我们一起去**野餐**。 (Wǒmen yīqǐ qù **yěcān**.) Let's go **to picnic** together。
chinese-essencial-in-communication-3-wind,风,,fēng,wind,🌬️,今天的**风**很大。 (Jīntiān de **fēng** hěn dà.) Today's **wind** is very strong。
chinese-essencial-in-communication-3-to-go-down-a-mountain,下山,,xià shān,to go down a mountain,🔽,我们该**下山**了。 (Wǒmen gāi **xià shān** le.) We should **go down a mountain** now。
chinese-essencial-in-communication-3-rainbow,彩虹,,cǎihóng,rainbow,🌈,看！有一道**彩虹**。 (Kàn! Yǒu yī dào **cǎihóng**.) Look! There is a **rainbow**。
chinese-essencial-in-communication-3-botanical-garden,植物园,,zhíwùyuán,botanical garden,🌳,我喜欢去**植物园**散步。 (Wǒ xǐhuān qù **zhíwùyuán** sànbù.) I like to take a walk in the **botanical garden**。
chinese-essencial-in-communication-3-the-wind-blows,刮风,,guā fēng,the wind blows,💨,今天**刮风**很大。 (Jīntiān **guā fēng** hěn dà.) **The wind blows** strongly today。
chinese-essencial-in-communication-3-clear-day,晴天,,qíngtiān,clear day,☀️,明天是**晴天**。 (Míngtiān shì **qíngtiān**.) Tomorrow is a **clear day**。
chinese-essencial-in-communication-3-daytime,白天,,báitiān,daytime,🌞,**白天**很长。 (**Báitiān** hěn cháng.) The **daytime** is long。
chinese-essencial-in-communication-3-sunny,晴,,qíng,sunny,😎,天气**晴**朗。 (Tiānqì **qíng**lǎng.) The weather is **sunny** and clear。
chinese-essencial-in-communication-3-to-change,转,,zhuǎn,to change,🔄,天气会**转**晴。 (Tiānqì huì **zhuǎn** qíng.) The weather will **change** to sunny。
chinese-essencial-in-communication-3-cloudy,阴,,yīn,cloudy,🌥️,今天**阴**天。 (Jīntiān **yīn**tiān.) Today is **cloudy**。
chinese-essencial-in-communication-3-noon,中午,,zhōngwǔ,noon,🕛,我们**中午**吃饭。 (Wǒmen **zhōngwǔ** chīfàn.) We eat lunch at **noon**。
chinese-essencial-in-communication-3-shower,阵雨,,zhènyǔ,shower,🌦️,可能会有**阵雨**。 (Kěnéng huì yǒu **zhènyǔ**.) There might be a **shower**。
chinese-essencial-in-communication-3-north-wind,北风,,běifēng,north wind,⬆️,**北风**很冷。 (**Běifēng** hěn lěng.) The **north wind** is cold。
chinese-essencial-in-communication-3-force,级,,jí,force,💪,风力是三**级**。 (Fēnglì shì sān **jí**.) The wind **force** is level three。
chinese-essencial-in-communication-3-most,最,,zuì,most,⭐,她是**最**好的。 (Tā shì **zuì** hǎo de.) She is the **most** good (the best)。
chinese-essencial-in-communication-3-temperature,气温,,qìwēn,temperature,🌡️,明天的**气温**是多少？ (Míngtiān de **qìwēn** shì duōshǎo?) What is tomorrow's **temperature**?
chinese-essencial-in-communication-3-degree,度,,dù,degree,📏,今天二十五**度**。 (Jīntiān èrshíwǔ **dù**.) Today is twenty-five **degree**s。
chinese-essencial-in-communication-3-night-time,夜间,,yèjiān,night time,🌙,**夜间**很安静。 (**Yèjiān** hěn ānjìng.) The **night time** is very quiet。
chinese-essencial-in-communication-3-morning,早上,,zǎoshang,morning,🌅,我喜欢在**早上**工作。 (Wǒ xǐhuān zài **zǎoshang** gōngzuò.) I like to work in the **morning**。
chinese-essencial-in-communication-3-to-jog,跑步,,pǎobù,to jog,🏃,他每天都去**跑步**。 (Tā měitiān dōu qù **pǎobù**.) He goes **to jog** every day。
chinese-essencial-in-communication-3-habit,习惯,,xíguàn,habit,🧘,这是一个好**习惯**。 (Zhè shì yīgè hǎo **xíguàn**.) This is a good **habit**。
chinese-essencial-in-communication-3-to-take-exercise,锻炼,,duànliàn,to take exercise,💪,我们应该多**锻炼**。 (Wǒmen yīnggāi duō **duànliàn**.) We should **to take exercise** more。
chinese-essencial-in-communication-3-breakfast,早饭,,zǎofàn,breakfast,🍳,你吃了**早饭**吗？ (Nǐ chīle **zǎofàn** ma?) Did you eat **breakfast**?
chinese-essencial-in-communication-3-should,该,,gāi,should,🧭,你**该**回家了。 (Nǐ **gāi** huí jiā le.) You **should** go home now。
chinese-essencial-in-communication-3-common,一般,,yìbān,common,👍,这很**一般**。 (Zhè hěn **yìbān**.) This is very **common**。
chinese-essencial-in-communication-3-used-in-a-declarative-sentence-for-emphasis,可,,kě,(used in a declarative sentence for emphasis),❗,你**可**真厉害！ (Nǐ **kě** zhēn lìhài!) You are **(used for emphasis)** truly amazing!
chinese-essencial-in-communication-3-chinese-dish,中国菜,,Zhōngguó cài,Chinese dish,🍜,我喜欢吃**中国菜**。 (Wǒ xǐhuān chī **Zhōngguó cài**.) I like to eat **Chinese dish**es。
chinese-essencial-in-communication-3-taste-of-food,口味,,kǒuwèi,taste of food,😋,你的**口味**是什么？ (Nǐ de **kǒuwèi** shì shénme?) What is your **taste of food**?
chinese-essencial-in-communication-3-hot-spicy,辣,,là,"hot, spicy",🌶️,"这个菜很**辣**。 (Zhège cài hěn **là**.) This dish is very **hot, spicy**。"
chinese-essencial-in-communication-3-to-love,爱,,ài,to love,❤️,我**爱**我的家人。 (Wǒ **ài** wǒ de jiārén.) I **to love** my family。
chinese-essencial-in-communication-3-sour-sweet,酸甜,,suāntián,sour-sweet,🍬,他喜欢吃**酸甜**口味的糖。 (Tā xǐhuān chī **suāntián** kǒuwèi de táng.) He likes **sour-sweet** flavored candy。
chinese-essencial-in-communication-3-light,清淡,,qīngdàn,light,🥗,我喜欢吃**清淡**的食物。 (Wǒ xǐhuān chī **qīngdàn** de shíwù.) I like **light** food。
chinese-essencial-in-communication-3-greasy,油腻,,yóunì,greasy,🤢,这个肉太**油腻**了。 (Zhège ròu tài **yóunì** le.) This meat is too **greasy**。
chinese-essencial-in-communication-3-measure-word,只,,zhī,(measure word),🐾,我有一**只**猫。 (Wǒ yǒu yī **zhī** māo.) I have one **(measure word)** cat。
chinese-essencial-in-communication-3-hand,手,,shǒu,hand,✋,请举**手**。 (Qǐng jǔ **shǒu**.) Please raise your **hand**。
chinese-essencial-in-communication-3-to-write,写,,xiě,to write,✍️,我会**写**汉字。 (Wǒ huì **xiě** Hànzì.) I can **to write** Chinese characters。
chinese-essencial-in-communication-3-characters-written-with-a-writing-brush,毛笔字,,máobǐ zì,characters written with a writing brush,🖌️,他正在练习**毛笔字**。 (Tā zhèngzài liànxí **máobǐ zì**.) He is practicing **characters written with a writing brush**。
chinese-essencial-in-communication-3-chinese-writing-brush,毛笔,,máobǐ,Chinese writing brush,🖋️,这是一支**毛笔**。 (Zhè shì yī zhī **máobǐ**.) This is a **Chinese writing brush**。
chinese-essencial-in-communication-3-character,字,,zì,character,🔠,这个**字**很难。 (Zhège **zì** hěn nán.) This **character** is difficult。
chinese-essencial-in-communication-3-performance,演出,,yǎnchū,performance,🎭,今晚有精彩的**演出**。 (Jīnwǎn yǒu jīngcǎi de **yǎnchū**.) There is a wonderful **performance** tonight。
chinese-essencial-in-communication-3-in-the-process-of,正在,,zhèngzài,in the process of,⏳,他**正在**吃饭。 (Tā **zhèngzài** chīfàn.) He is **in the process of** eating。
chinese-essencial-in-communication-3-to-practice,练习,,liànxí,to practice,📚,我需要多**练习**。 (Wǒ xūyào duō **liànxí**.) I need **to practice** more。
chinese-essencial-in-communication-3-not-easy,不容易,,bù róngyì,not easy,😥,这件事情**不容易**。 (Zhè jiàn shìqíng **bù róngyì**.) This matter is **not easy**。
chinese-essencial-in-communication-3-easy,容易,,róngyì,easy,💡,学中文很**容易**。 (Xué Zhōngwén hěn **róngyì**.) Learning Chinese is **easy**。
chinese-essencial-in-communication-3-to-pour,倒,,dào,to pour,💧,请给我**倒**一杯水。 (Qǐng gěi wǒ **dào** yī bēi shuǐ.) Please **to pour** me a glass of water。
chinese-essencial-in-communication-3-cup-measure-word,杯,,bēi,cup (measure word),☕,我要一**杯**咖啡。 (Wǒ yào yī **bēi** kāfēi.) I want one **cup (measure word)** of coffee。
chinese-essencial-in-communication-3-right-now,在,,zài,right now,⌚,他**在**家。 (Tā **zài** jiā.) He is at home **right now**。
chinese-essencial-in-communication-3-modal-word,呀,,ya,(modal word),🗣️,好**呀**！ (Hǎo **ya**!) Okay **(modal word)**!
chinese-essencial-in-communication-3-modal-word,呢,,ne,(modal word),💬,你**呢**？ (Nǐ **ne**?) How about you **(modal word)**?
chinese-essencial-in-communication-3-to-disturb,打扰,,dǎrǎo,to disturb,🔇,"对不起，**打扰**了。 (Duìbùqǐ, **dǎrǎo** le.) Sorry **to disturb** you."
chinese-essencial-in-communication-3-oneself,自己,,zìjǐ,oneself,👤,我可以照顾**自己**。 (Wǒ kěyǐ zhàogù **zìjǐ**.) I can take care of **oneself**。
chinese-essencial-in-communication-3-station-stop,车站,,chēzhàn,"station, stop",🚌,"我在**车站**等你。 (Wǒ zài **chēzhàn** děng nǐ.) I'm waiting for you at the **station, stop**。"
chinese-essencial-in-communication-3-the-entrance-to-a-hutong,胡同口儿,,hútòng kǒur,the entrance to a hutong,➡️,请在**胡同口儿**见。 (Qǐng zài **hútòng kǒur** jiàn.) Please meet at **the entrance to a hutong**。
chinese-essencial-in-communication-3-hutong-lane-alley,胡同,,hútòng,"hutong, lane, alley",🏘️,"我们住在一条**胡同**里。 (Wǒmen zhù zài yī tiáo **hútòng** lǐ.) We live in a **hutong, lane, alley**"
chinese-essencial-in-communication-3-downtown,市中心,,shì zhōngxīn,downtown,🏙️,这里是**市中心**。 (Zhèlǐ shì **shì zhōngxīn**.) This is **downtown**。
chinese-essencial-in-communication-3-center,中心,,zhōngxīn,center,🎯,找到问题的**中心**。 (Zhǎodào wèntí de **zhōngxīn**.) Find the **center** of the problem。
chinese-essencial-in-communication-3-seem-be-like,好像,,hǎoxiàng,"seem, be like",🧐,"你**好像**很累。 (Nǐ **hǎoxiàng** hěn lèi.) You **seem, be like** very tired。"
chinese-essencial-in-communication-3-green-plot,绿地,,lǜdì,green plot,🌿,小区里有很多**绿地**。 (Xiǎoqū lǐ yǒu hěn duō **lǜdì**.) There are many **green plot**s in the community。
chinese-essencial-in-communication-3-garden,花园,,huāyuán,garden,🌸,我在**花园**里种花。 (Wǒ zài **huāyuán** lǐ zhòng huā.) I plant flowers in the **garden**。
chinese-essencial-in-communication-3-of-an-old-couple-husband-or-wife,老伴儿,,lǎobànr,(of an old couple) husband or wife,👵,他和他**老伴儿**一起散步。 (Tā hé tā **lǎobànr** yīqǐ sànbù.) He takes a walk with his **(of an old couple) husband or wife**。
chinese-essencial-in-communication-3-side,旁边,,pángbiān,side,➡️,我坐在他**旁边**。 (Wǒ zuò zài tā **pángbiān**.) I sat by his **side**。
chinese-essencial-in-communication-3-supermarket,超市,,chāoshì,supermarket,🛒,我们去**超市**买菜。 (Wǒmen qù **chāoshì** mǎi cài.) We go to the **supermarket** to buy food。
chinese-essencial-in-communication-3-restaurant,饭馆儿,,fànguǎnr,restaurant,🍽️,我们去那个**饭馆儿**吃饭。 (Wǒmen qù nàgè **fànguǎnr** chīfàn.) We go to that **restaurant** to eat。
chinese-essencial-in-communication-3-to-taste,尝,,cháng,to taste,👅,你**尝**尝这个菜。 (Nǐ **cháng**chang zhège cài.) You **to taste** this dish。
chinese-essencial-in-communication-3-house,房子,,fángzi,house,🏠,他买了一栋新**房子**。 (Tā mǎile yī dòng xīn **fángzi**.) He bought a new **house**。
chinese-essencial-in-communication-3-suburban-district,郊区,,jiāoqū,suburban district,🌳,我住在**郊区**。 (Wǒ zhù zài **jiāoqū**.) I live in the **suburban district**。
chinese-essencial-in-communication-3-beauty-parlor,美容院,,měiróngyuàn,beauty parlor,💅,她常去**美容院**。 (Tā cháng qù **měiróngyuàn**.) She often goes to the **beauty parlor**。
chinese-essencial-in-communication-3-traffic,交通,,jiāotōng,traffic,🚦,这个城市的**交通**很方便。 (Zhège chéngshì de **jiāotōng** hěn fāngbiàn.) The **traffic** in this city is very convenient。
chinese-essencial-in-communication-3-subway-station,地铁站,,dìtiě zhàn,subway station,🚇,**地铁站**在哪里？ (**Dìtiě zhàn** zài nǎlǐ?) Where is the **subway station**?
chinese-essencial-in-communication-3-town-city,城里,,chénglǐ,"town, city",📍,"他现在**城里**工作。 (Tā xiànzài **chénglǐ** gōngzuò.) He works in the **town, city** now。"
chinese-essencial-in-communication-3-to-need-to-take,要,,yào,"to need, to take",⏳,"你**要**多久才能完成？ (Nǐ **yào** duōjiǔ cáinéng wánchéng?) How long will it **to need, "
chinese-essencial-in-communication-3-neighbor,邻居,,línjū,neighbor,🧑‍🤝‍🧑,我的**邻居**很友好。 (Wǒ de **línjū** hěn yǒuhǎo.) My **neighbor** is friendly。
chinese-essencial-in-communication-3-to-go-back,回,,huí,to go back,🔙,我想**回**家。 (Wǒ xiǎng **huí** jiā.) I want **to go back** home。
chinese-essencial-in-communication-3-post-office,邮局,,yóujú,post office,📮,我去了**邮局**。 (Wǒ qùle **yóujú**.) I went to the **post office**。
chinese-essencial-in-communication-3-to-fetch,取,,qǔ,to fetch,📥,我需要去**取**包裹。 (Wǒ xūyào qù **qǔ** bāoguǒ.) I need **to fetch** the parcel。
chinese-essencial-in-communication-3-password,密码,,mìmǎ,password,🔒,请记住你的**密码**。 (Qǐng jìzhù nǐ de **mìmǎ**.) Please remember your **password**。
chinese-essencial-in-communication-3-delivery-locker,快递柜,,kuàidìguì,delivery locker,📦,包裹已放入**快递柜**。 (Bāoguǒ yǐ fàng rù **kuàidìguì**.) The parcel has been put into the **delivery locker**。
chinese-essencial-in-communication-3-screen,屏幕,,píngmù,screen,🖥️,这个**屏幕**很亮。 (Zhège **píngmù** hěn liàng.) This **screen** is very bright。
chinese-essencial-in-communication-3-to-fill-in,填,,tián,to fill in,✍️,请**填**写这张表格。 (Qǐng **tián**xiě zhè zhāng biǎogé.) Please **to fill in** this form。
chinese-essencial-in-communication-3-chinese-dumpling,饺子,,jiǎozi,Chinese dumpling,🥟,我们周末吃**饺子**。 (Wǒmen zhōumò chī **jiǎozi**.) We eat **Chinese dumpling**s on the weekend。
chinese-essencial-in-communication-3-just,刚,,gāng,just,⏱️,她**刚**离开。 (Tā **gāng** líkāi.) She **just** left。
chinese-essencial-in-communication-3-relation,关系,,guānxi,relation,🤝,我们有良好的**关系**。 (Wǒmen yǒu liánghǎo de **guānxi**.) We have a good **relation**ship。
chinese-essencial-in-communication-3-to-visit,看望,,kànwàng,to visit,🧑‍🤝‍🧑,我**看望**了我的奶奶。 (Wǒ **kànwàng**le wǒ de nǎinai.) I went **to visit** my grandma。
chinese-essencial-in-communication-3-courtyard-house,四合院,,Sìhéyuàn,Courtyard house,🏠,我想住在**四合院**里。 (Wǒ xiǎng zhù zài **sìhéyuàn** lǐ.) I want to live in a **quadrangle (traditional residential compound in northern China)**。
chinese-essencial-in-communication-3-courtyard,院儿,,yuànr,courtyard,🪴,我们坐在**院儿**里聊天。 (Wǒmen zuò zài **yuànr** lǐ liáotiān.) We sat and chatted in the **courtyard**。
chinese-essencial-in-communication-3-north-facing-house,北房,,běifáng,north-facing house,↖️,**北房**光线不好。 (**Běifáng** guāngxiàn bù hǎo.) The **north-facing house** does not have good lighting。
chinese-essencial-in-communication-3-south-facing-house,南房,,nánfáng,south-facing house,↙️,**南房**很温暖。 (**Nánfáng** hěn wēnnuǎn.) The **south-facing house** is very warm。
chinese-essencial-in-communication-3-to-go-over,过去,,guòqu,to go over,🚶,请从这儿**过去**。 (Qǐng cóng zhèr **guòqu**.) Please **to go over** from here。
chinese-essencial-in-communication-3-to-post-to-send,寄,,jì,"to post, to send",📧,"我想**寄**包裹。 (Wǒ xiǎng **jì** bāoguǒ.) I want **to post, to send** a parcel。"
chinese-essencial-in-communication-3-measure-word-for-paper,张,,zhāng,(measure word for paper),📄,给我一**张**纸。 (Gěi wǒ yī **zhāng** zhǐ.) Give me one **(measure word for paper)** of paper。
chinese-essencial-in-communication-3-postcard,明信片,,míngxìnpiàn,postcard,🖼️,我收到了**明信片**。 (Wǒ shōudào le **míngxìnpiàn**.) I received a **postcard**。
chinese-essencial-in-communication-3-letter,信,,xìn,letter,✉️,他写了一封**信**。 (Tā xiěle yī fēng **xìn**.) He wrote a **letter**。
chinese-essencial-in-communication-3-water-transport,水路,,shuǐlù,water transport,🚢,货物走**水路**。 (Huòwù zǒu **shuǐlù**.) The goods go by **water transport**。
chinese-essencial-in-communication-3-air-transport,航空,,hángkōng,air transport,✈️,我选择**航空**。 (Wǒ xuǎnzé **hángkōng**.) I chose **air transport**。
chinese-essencial-in-communication-3-stamp,邮票,,yóupiào,stamp,🏷️,请买一张**邮票**。 (Qǐng mǎi yī zhāng **yóupiào**.) Please buy a **stamp**。
chinese-essencial-in-communication-3-parcel,包裹,,bāoguǒ,parcel,🎁,**包裹**很重。 (**Bāoguǒ** hěn zhòng.) The **parcel** is heavy。
chinese-essencial-in-communication-3-to-need,需要,,xūyào,to need,🙏,你**需要**什么？ (Nǐ **xūyào** shénme?) What do you **to need**?
chinese-essencial-in-communication-3-how-long,多长时间,,duō cháng shíjiān,how long,❓,从这里到那儿**多长时间**？ (Cóng zhèlǐ dào nà'er **duō cháng shíjiān**?) **How long** is it from here to there?
chinese-essencial-in-communication-3-long,长,,cháng,long,📏,你的头发真**长**。 (Nǐ de tóufà zhēn **cháng**.) Your hair is really **long**。
chinese-essencial-in-communication-3-express-delivery,特快专递,,tèkuài zhuǎndì,express delivery,🚀,请发**特快专递**。 (Qǐng fā **tèkuài zhuǎndì**.) Please send by **express delivery**。
chinese-essencial-in-communication-3-tea,茶叶,,cháyè,tea,🍵,这种**茶叶**很好。 (Zhè zhǒng **cháyè** hěn hǎo.) This kind of **tea** is very good。
chinese-essencial-in-communication-3-to-weigh,称,,chēng,to weigh,⚖️,请**称**一下重量。 (Qǐng **chēng** yīxià zhòngliàng.) Please **to weigh** the mass。
chinese-essencial-in-communication-3-fast-mail,快递,,kuàidì,fast mail,🏍️,这个**快递**很快。 (Zhège **kuàidì** hěn kuài.) This **fast mail** is very fast。
chinese-essencial-in-communication-3-week,周,,zhōu,week,🗓️,我下**周**会回来。 (Wǒ xià **zhōu** huì huílái.) I will be back next **week**。
chinese-essencial-in-communication-3-parcel-form,包裹单,,bāoguǒdān,parcel form,📝,请给我一张**包裹单**。 (Qǐng gěi wǒ yī zhāng **bāoguǒdān**.) Please give me a **parcel form**。
chinese-essencial-in-communication-3-addressee,收件人,,shōujiànrén,addressee,🏷️,请写清楚**收件人**。 (Qǐng xiě qīngchu **shōujiànrén**.) Please write the **addressee** clearly。
chinese-essencial-in-communication-3-address,地址,,dìzhǐ,address,🗺️,请告诉我你的**地址**。 (Qǐng gàosù wǒ nǐ de **dìzhǐ**.) Please tell me your **address**。
chinese-essencial-in-communication-3-what-a-coincidence,真巧,,zhēn qiǎo,what a coincidence,😮,**真巧**！我们在这里见面了。 (**Zhēn qiǎo**! Wǒmen zài zhèlǐ jiànmiàn le.) **What a coincidence**! We met here。
chinese-essencial-in-communication-3-us-dollar,美元,,Měiyuán,US dollar,💵,一百**美元**。 (Yī bǎi **Měiyuán**.) One hundred **US dollar**s。
chinese-essencial-in-communication-3-exchange-rate,汇率,,huìlǜ,exchange rate,💱,今天的**汇率**是多少？ (Jīntiān de **huìlǜ** shì duōshǎo?) What is today's **exchange rate**?
chinese-essencial-in-communication-3-to-exchange,换,,huàn,to exchange,↔️,我想**换**钱。 (Wǒ xiǎng **huàn** qián.) I want **to exchange** money。
chinese-essencial-in-communication-3-japanese-yen,日元,,Rìyuán,Japanese yen,💴,请给我**日元**。 (Qǐng gěi wǒ **Rìyuán**.) Please give me **Japanese yen**。
chinese-essencial-in-communication-3-yesterday,昨天,,zuótiān,yesterday,⏪,我**昨天**很忙。 (Wǒ **zuótiān** hěn máng.) I was busy **yesterday**。
chinese-essencial-in-communication-3-same,一样,,yīyàng,same,👯,我们穿**一样**的衣服。 (Wǒmen chuān **yīyàng** de yīfú.) We wear the **same** clothes。
chinese-essencial-in-communication-3-department-store,百货商场,,bǎihuò shāngchǎng,department store,🛍️,她去**百货商场**买东西。 (Tā qù **bǎihuò shāngchǎng** mǎi dōngxī.) She goes to the **department store** to shop。
chinese-essencial-in-communication-3-market-mall,商场,,shāngchǎng,"market, mall",🏬,**商场**里人很多。 (**Shāngchǎng** lǐ rén hěn duō.) There are many people in the **market**
chinese-essencial-in-communication-3-clothes-clothing,衣服,,yīfu,"clothes, clothing",👕,我要买新**衣服**。 (Wǒ yào mǎi xīn **yīfu**.) I want to buy new **clothes**
chinese-essencial-in-communication-3-franchised-store,专卖店,,zhuānmàidiàn,franchised store,💎,这是一家手机**专卖店**。 (Zhè shì yī jiā shǒujī **zhuānmàidiàn**.) This is a mobile phone **franchised store**。
chinese-essencial-in-communication-3-sometimes,有时候,,yǒu shíhou,sometimes,🤷,我**有时候**会很懒。 (Wǒ **yǒu shíhou** huì hěn lǎn.) I am lazy **sometimes**。
chinese-essencial-in-communication-3-customize,定做,,dìngzuò,customize,🧵,我想**定做**一件衬衫。 (Wǒ xiǎng **dìngzuò** yī jiàn chènshān.) I want to **customize** a shirt。
chinese-essencial-in-communication-3-similar,差不多,,chàbuduō,similar,🆗,我们的想法**差不多**。 (Wǒmen de xiǎngfǎ **chàbuduō**.) Our ideas are **similar**。
chinese-essencial-in-communication-3-to-deposit-money,存钱,,cún qián,to deposit money,💰,我每个月都**存钱**。 (Wǒ měi gè yuè dōu **cún qián**.) I **to deposit money** every month。
chinese-essencial-in-communication-3-to-deposit,存,,cún,to deposit,🏦,他把书**存**在图书馆。 (Tā bǎ shū **cún** zài túshū guǎn.) He **to deposit** the book in the library。
chinese-essencial-in-communication-3-foreign-currency,外币,,wàibì,foreign currency,🌐,我需要兑换一些**外币**。 (Wǒ xūyào duìhuàn yīxiē **wàibì**.) I need to exchange some **foreign currency**。
chinese-essencial-in-communication-3-bank-card,银行卡,,yínhángkǎ,bank card,💳,我的**银行卡**不见了。 (Wǒ de **yínhángkǎ** bú jiàn le.) My **bank card** is missing。
chinese-essencial-in-communication-3-to-manage,办,,bàn,to manage,📝,我需要去**办**一张新卡。 (Wǒ xūyào qù **bàn** yī zhāng xīn kǎ.) I need **to manage** a new card。
chinese-essencial-in-communication-3-to-set-up,设置,,shèzhì,to set up,⚙️,请**设置**你的语言。 (Qǐng **shèzhì** nǐ de yǔyán.) Please **to set up** your language。
chinese-essencial-in-communication-3-to-withdraw-money,取钱,,qǔ qián,to withdraw money,🏧,我去自动取款机**取钱**。 (Wǒ qù zìdòng qǔkuǎnjī **qǔ qián**.) I go to the ATM **to withdraw money**。
chinese-essencial-in-communication-3-overcoat,大衣,,dàyī,overcoat,🧥,冬天需要穿**大衣**。 (Dōngtiān xūyào chuān **dàyī**.) You need to wear an **overcoat** in winter。
chinese-essencial-in-communication-3-to-suggest,建议,,jiànyì,to suggest,🗣️,我接受你的**建议**。 (Wǒ jiēshòu nǐ de **jiànyì**.) I accept your **to suggest**ion。
chinese-essencial-in-communication-3-youth,年轻人,,niánqīngrén,youth,🧑‍🤝‍🧑,**年轻人**充满活力。 (**Niánqīngrén** chōngmǎn huólì.) **Youth** are full of energy。
chinese-essencial-in-communication-3-price,价钱,,jiàqián,price,💲,这个**价钱**可以接受。 (Zhège **jiàqián** kěyǐ jiēshòu.) This **price** is acceptable。
chinese-essencial-in-communication-3-gift,礼物,,lǐwù,gift,🎁,谢谢你的**礼物**。 (Xièxie nǐ de **lǐwù**.) Thank you for your **gift**
chinese-essencial-in-communication-3-to-go-shopping,逛街,,guàngjiē,to go shopping,🛍️,我们去**逛街**吧。 (Wǒmen qù **guàngjiē** ba.) Let's **to go shopping**。
chinese-essencial-in-communication-3-second-hand-store,旧货商店,,jiùhuò shāngdiàn,second-hand store,♻️,他喜欢去**旧货商店**。 (Tā xǐhuān qù **jiùhuò shāngdiàn**.) He likes to go to the **second-hand store**。
chinese-essencial-in-communication-3-to-stroll,逛,,guàng,to stroll,🚶,我喜欢在公园**逛**。 (Wǒ xǐhuān zài gōngyuán **guàng**.) I like **to stroll** in the park。
chinese-essencial-in-communication-3-old,老,,lǎo,old,👴,我的爷爷很**老**了。 (Wǒ de yéye hěn **lǎo** le.) My grandpa is very **old**。
