ID,front/title,front/icon,front/description,back/title,back/icon,back/description
chinese-essencial-in-communication-1-english-liu-shaohua,刘少华,,Liú Shàohuá,Liu Shaohua,🇨🇳,**刘少华**是我的朋友。 (**Liú Shàohuá**) shì wǒ de péngyǒu. **Liu Shaohua** is my friend.
chinese-essencial-in-communication-1-english-zhao-yulan,赵玉兰,,Zhào Yùlán,Zhao Yulan,🇨🇳,**赵玉兰**很高兴。 (**Zhào Yùlán**) hěn gāoxìng. **Zhao Yulan** is very happy.
chinese-essencial-in-communication-1-english-mike,麦克,,Màikè,Mike,🇺🇸,**麦克**是学生。 (**Màikè**) shì xuéshēng. **Mike** is a student.
chinese-essencial-in-communication-1-english-zhang-fangfang,张芳芳,,Zhāng Fāngfāng,Zhang Fangfang,🇨🇳,**张芳芳**姓张。 (**Zhāng Fāngfāng**) xìng Zhāng. **Zhang Fangfang** is surnamed Zhang.
chinese-essencial-in-communication-1-english-zhang-yuanyuan,张圆圆,,Zhāng Yuányuán,Zhang Yuanyuan,🇨🇳,**张圆圆**也是老师。 (**Zhāng Yuányuán**) yě shì lǎoshī. **Zhang Yuányuán** is also a teacher.
chinese-essencial-in-communication-1-english-kim-taesung,金太成,,Jīn Tàichéng,Kim Taesung,🇰🇷,**金太成**很高兴认识你。 (**Jīn Tàichéng**) hěn gāoxìng rènshi nǐ. **Kim Taesung** is very happy to know you.
chinese-essencial-in-communication-1-english-yamaguchi-kazuko,山口和子,,Shānkǒu Hézǐ,Yamaguchi Kazuko,🇯🇵,**山口和子**是学生。 (**Shānkǒu Hézǐ**) shì xuéshēng. **Yamaguchi Kazuko** is a student.
chinese-essencial-in-communication-1-english-wang-yang,王杨,,Wáng Yáng,Wang Yang,🇨🇳,"**王杨**，你好！ (**Wáng Yáng**), nǐ hǎo! **Wang Yang**, hello!"
chinese-essencial-in-communication-1-english-mary,玛丽,,Mǎlì,Mary,🇬🇧,**玛丽**是老师。 (**Mǎlì**) shì lǎoshī. **Mary** is a teacher.
chinese-essencial-in-communication-1-english-faye,菲雅,,Fēiyǎ,Faye,🇺🇸,**菲雅**不是学生。 (**Fēiyǎ**) bú shì xuéshēng. **Faye** is not a student.
chinese-essencial-in-communication-1-english-li-dongsheng,李冬生,,Lǐ Dōngshēng,Li Dongsheng,🇨🇳,**李冬生**姓李。 (**Lǐ Dōngshēng**) xìng Lǐ. **Li Dongsheng** is surnamed Li.
chinese-essencial-in-communication-1-english-chen-xiaohong,陈晓红,,Chén Xiǎohóng,Chen Xiaohong,🇨🇳,**陈晓红**很高兴。 (**Chén Xiǎohóng**) hěn gāoxìng. **Chen Xiaohong** is very happy.
chinese-essencial-in-communication-1-english-she-her,她,,tā,"she, her",👩,**她**是老师。 (**Tā**) shì lǎoshī. **She** is a teacher.
chinese-essencial-in-communication-1-english-who,谁,,shéi,who,🧐,你是**谁**？ (Nǐ shì **shéi**)? **Who** are you?
chinese-essencial-in-communication-1-english-he-him,他,,tā,"he, him",👨,**他**是学生。 (**Tā**) shì xuéshēng. **He** is a student.
chinese-essencial-in-communication-1-english-teacher,老师,,lǎoshī,teacher,🧑‍🏫,我的**老师**姓王。 (Wǒ de **lǎoshī**) xìng Wáng. My **teacher** is surnamed Wang.
chinese-essencial-in-communication-1-english-to-be-called-as,叫,,jiào,to be called as,🗣️,我**叫**麦克。 (Wǒ **jiào**) Màikè. I **am called as** Mike.
chinese-essencial-in-communication-1-english-what,什么,,shénme,what,❓,你**叫**什么名字？ (Nǐ jiào **shénme** míngzì?) **What** is your name?
chinese-essencial-in-communication-1-english-name,名字,,míngzi,name,🏷️,我的**名字**叫李冬生。 (Wǒ de **míngzi**) jiào Lǐ Dōngshēng. My **name** is Li Dongsheng.
chinese-essencial-in-communication-1-english-name,姓名,,xìngmíng,name,🏷️,我的**姓名**是李冬生。 (Wǒ de **xìngmíng**) shì Lǐ Dōngshēng. My **name** is Li Dongsheng.
chinese-essencial-in-communication-1-english-nationality,国籍,,guójí,nationality,🌍,我的**国籍**是中国。 (Wǒ de **guójí**) shì Zhōngguó. My **nationality** is Chinese.
chinese-essencial-in-communication-1-english-again,再,,zài,again,🔄,请**再**说一次。 (Qǐng **zài**) shuō yí cì. Please say it **again**.
chinese-essencial-in-communication-1-english-to-say-to-speak,说,,shuō,"to say, to speak",🗣️,我**说**中文。 (Wǒ **shuō**) Zhōngwén. I **speak** Chinese.
chinese-essencial-in-communication-1-english-one,一,,yī,one,1️⃣,我有一个**一**。 (Wǒ yǒu **yī** ge.) I have **one**.
chinese-essencial-in-communication-1-english-measure-times-of-actions,遍,,biàn,(measure times of actions),🔢,我再说一**遍**。 (Wǒ zài shuō yí **biàn**.) I say it one **time** more.
chinese-essencial-in-communication-1-english-which;-where,哪,,nǎ,which; where,🗺️,你是**哪**国人？ (Nǐ shì **nǎ** guó rén?) **Which** country person are you?
chinese-essencial-in-communication-1-english-country-state,国,,guó,"country, state",🌎,我爱我的**国**。 (Wǒ ài wǒ de **guó**.) I love my **country**.
chinese-essencial-in-communication-1-english-people-person,人,,rén,"people, person",🧑,我是一个**人**。 (Wǒ shì **rén**.) I am a **person**.
chinese-essencial-in-communication-1-english-oh-understanding,哦,,ò,oh (understanding),😮,"**哦**，我明白了。 (**Ò**), wǒ míngbáile. **Oh**, I understand."
chinese-essencial-in-communication-1-english-indicating-a-possessive-relationship,的,,de,(indicating a possessive relationship),✨,这是我**的**书。 (Zhè shì wǒ **de**) shū. This is my **(possessive)** book.
chinese-essencial-in-communication-1-english-passport,护照,,hùzhào,passport,🛂,请给我看你的**护照**。 (Qǐng gěi wǒ kàn nǐ de **hùzhào**.) Please show me your **passport**.
chinese-essencial-in-communication-1-english-to-give,给,,gěi,to give,🎁,**给**我一杯水。 (**Gěi**) wǒ yī bēi shuǐ. **Give** me a glass of water.
chinese-essencial-in-communication-1-english-to-thank,谢谢,,xièxie,to thank,🙏,**谢谢**你。 (**Xièxie**) nǐ. **Thank** you.
chinese-essencial-in-communication-1-english-rawson,罗森,,Luósēn,Rawson,👨,**罗森**是澳大利亚人。 (**Luósēn**) shì Àodàlìyà rén. **Rawson** is Australian.
chinese-essencial-in-communication-1-english-france,法国,,Fǎguó,France,🇫🇷,他去**法国**。 (Tā qù **Fǎguó**.) He goes to **France**.
chinese-essencial-in-communication-1-english-everybody,大家,,dàjiā,everybody,🧑‍🤝‍🧑,**大家**好！ (**Dàjiā**) hǎo! Hello **everybody**!
chinese-essencial-in-communication-1-english-coach,教练,,jiàoliàn,coach,⚽,我是足球**教练**。 (Wǒ shì zúqiú **jiàoliàn**.) I am a football **coach**.
chinese-essencial-in-communication-1-english-nurse,护士,,hùshi,nurse,⚕️,她是一个**护士**。 (Tā shì yí ge **hùshi**.) She is a **nurse**.
chinese-essencial-in-communication-1-english-measure-word,名,,míng,(measure word),📏,请说一**名**。 (Qǐng shuō yī **míng**.) Please say **one person** (formal).
chinese-essencial-in-communication-1-english-college-student,大学生,,dàxuésheng,college student,🎓,我是一个**大学生**。 (Wǒ shì **dàxuésheng**.) I am a **college student**.
chinese-essencial-in-communication-1-english-secretary,秘书,,mìshū,secretary,💼,他/她是我的**秘书**。 (Tā/Tā shì wǒ de **mìshū**.) He/She is my **secretary**.
chinese-essencial-in-communication-1-english-okey,好,,hǎo,Okey,👌,"**好**，我们走吧。 (**Hǎo**), wǒmen zǒu ba. **Okay** (conclusion), let's go."
chinese-essencial-in-communication-1-english-jane,珍妮,,Zhēnnī,Jane,👩,**珍妮**很高兴。 (**Zhēnnī**) hěn gāoxìng. **Jane** is very happy.
chinese-essencial-in-communication-1-english-australia,澳大利亚,,Àodàlìyà,Australia,🇦🇺,我来自**澳大利亚**。 (Wǒ láizì **Àodàlìyà**.) I come from **Australia**.
chinese-essencial-in-communication-1-english-germany,德国,,Déguó,Germany,🇩🇪,我住在**德国**。 (Wǒ zhùzài **Déguó**.) I live in **Germany**.
chinese-essencial-in-communication-1-english-everyday,每天,,měitiān,everyday,🗓️,我**每天**工作。 (Wǒ **měitiān**) gōngzuò. I work **everyday**.
chinese-essencial-in-communication-1-english-library,图书馆,,túshūguǎn,library,📚,我下午去**图书馆**。 (Wǒ xiàwǔ qù **túshūguǎn**.) I go to the **library** in the afternoon.
chinese-essencial-in-communication-1-english-afternoon,下午,,xiàwǔ,afternoon,🌞,我**下午**工作。 (Wǒ **xiàwǔ**) gōngzuò. I work in the **afternoon**.
chinese-essencial-in-communication-1-english-to-work,工作,,gōngzuò,to work,👷,我**工作**很忙。 (Wǒ **gōngzuò**) hěn máng. I **work** very busy.
chinese-essencial-in-communication-1-english-at-in-on,在,,zài,"at, in, on",📍,我**在**家。 (Wǒ **zài**) jiā. I am **at** home.
chinese-essencial-in-communication-1-english-where,哪儿,,nǎr,where,🗺️,你**在**哪儿？ (Nǐ zài **nǎr**)? **Where** are you?
chinese-essencial-in-communication-1-english-measure-word,家,,jiā,(measure word),🏠,我有五**家**公司。 (Wǒ yǒu wǔ **jiā**) gōngsī. I have five **firms**.
chinese-essencial-in-communication-1-english-firm-company,公司,,gōngsī,"firm, company",🏢,我在**公司**工作。 (Wǒ zài **gōngsī**) gōngzuò. I work at the **company**.
chinese-essencial-in-communication-1-english-department-manager,部门经理,,bùmén jīnglǐ,department manager,🥇,我是**部门经理**。 (Wǒ shì **bùmén jīnglǐ**.) I am a **department manager**.
chinese-essencial-in-communication-1-english-to-do-to-make,做,,zuò,"to do, to make",🛠️,你**做**什么工作？ (Nǐ **zuò**) shénme gōngzuò? **What** work do you do?
chinese-essencial-in-communication-1-english-clerk,职员,,zhíyuán,clerk,👨‍💻,她是一名**职员**。 (Tā shì yī míng **zhíyuán**.) She is a **clerk**.
chinese-essencial-in-communication-1-english-a-particle-used-at-the-end-of-a-question,吧,,ba,a particle (used at the end of a question),💬,"我们走**吧**。 (Wǒmen zǒu **ba**.) Let's go, **okay**?"
chinese-essencial-in-communication-1-english-no-not,不,,bù,"no, not",❌,我**不**是老师。 (Wǒ **bù**) shì lǎoshī. I am **not** a teacher.
chinese-essencial-in-communication-1-english-united-states-of-america-usa,美国,,Měiguó,United States of America (USA),🇺🇸,他是**美国**人。 (Tā shì **Měiguó** rén.) He is from the **United States of America**.
chinese-essencial-in-communication-1-english-united-kingdom-uk,英国,,Yīngguó,United Kingdom (UK),🇬🇧,我去过**英国**。 (Wǒ qù guo **Yīngguó**.) I have been to the **United Kingdom**.
chinese-essencial-in-communication-1-english-japan,日本,,Rìběn,Japan,🇯🇵,**日本**人很高兴。 (**Rìběn**) rén hěn gāoxìng. **Japanese** people are very happy.
chinese-essencial-in-communication-1-english-republic-of-korea,韩国,,Hánguó,Republic of Korea,🇰🇷,她是**韩国**人。 (Tā shì **Hánguó** rén.) She is from the **Republic of Korea**.
chinese-essencial-in-communication-1-english-dad-father,爸爸,,bàba,"dad, father",👨‍👧,我爱我的**爸爸**。 (Wǒ ài wǒ de **bàba**.) I love my **dad**.
chinese-essencial-in-communication-1-english-mom-mother,妈妈,,māma,"mom, mother",👩‍👦,我爱我的**妈妈**。 (Wǒ ài wǒ de **māma**.) I love my **mom**.
chinese-essencial-in-communication-1-english-place,地方,,dìfāng,place,🗺️,这是什么**地方**？ (Zhè shì shénme **dìfāng**)? What **place** is this?
chinese-essencial-in-communication-1-english-from,从,,cóng,from,⬅️,我**从**家来。 (Wǒ **cóng**) jiā lái. I come **from** home.
chinese-essencial-in-communication-1-english-to-come,来,,lái,to come,➡️,你**来**这里。 (Nǐ **lái**) zhèlǐ. **Come** here.
chinese-essencial-in-communication-1-english-but,但,,dàn,but,🛑,"我想去，**但**我很忙。 (Wǒ xiǎng qù, **dàn**) wǒ hěn máng. I want to go, **but** I am busy."
chinese-essencial-in-communication-1-english-oh-expressing-doubt,哦,,ò,oh (expressing doubt),🤨,**哦**? 真的吗？ (**Ò**)? Zhēn de ma? **Oh**? Really?
chinese-essencial-in-communication-1-english-beijing,北京,,Běijīng,Beijing,🇨🇳,我明天去**北京**。 (Wǒ míngtiān qù **Běijīng**.) I go to **Beijing** tomorrow.
chinese-essencial-in-communication-1-english-shanghai,上海,,Shànghǎi,Shanghai,🇨🇳,**上海**很漂亮。 (**Shànghǎi**) hěn piàoliang. **Shanghai** is very beautiful.
chinese-essencial-in-communication-1-english-guangdong,广东,,Guǎngdōng,Guangdong,🇨🇳,我的家在**广东**。 (Wǒ de jiā zài **Guǎngdōng**.) My home is in **Guangdong**.
chinese-essencial-in-communication-1-english-tokyo,东京,,Dōngjīng,Tokyo,🇯🇵,我想去**东京**。 (Wǒ xiǎng qù **Dōngjīng**.) I want to go to **Tokyo**.
chinese-essencial-in-communication-1-english-london,伦敦,,Lúndūn,London,🇬🇧,**伦敦**是英国的首都。 (**Lúndūn**) shì Yīngguó de shǒudū. **London** is the capital of the UK.
chinese-essencial-in-communication-1-english-china,中国,,Zhōngguó,China,🇨🇳,我是**中国**人。 (Wǒ shì **Zhōngguó**) rén. I am **Chinese**.
chinese-essencial-in-communication-1-english-little-friend,小朋友,,xiǎopéngyǒu,little friend,👧,"**小朋友**你好！ (**Xiǎopéngyǒu**) nǐ hǎo! Hello, **little friend**!"
chinese-essencial-in-communication-1-english-how-many;-several,几,,jǐ,how many; several,🔢,你有**几**本书？ (Nǐ yǒu **jǐ**) běn shū? How many books do you have?
chinese-essencial-in-communication-1-english-measure-word-used-for-age,岁,,suì,"(measure word, used for age)",🎂,你多大**岁**了？ (Nǐ duō dà **suì**) le? How old (age) are you?
chinese-essencial-in-communication-1-english-to-guess,猜,,cāi,to guess,🤫,你**猜**我是谁？ (Nǐ **cāi**) wǒ shì shéi? **Guess** who I am?
chinese-essencial-in-communication-1-english-correct-right,对,,duì,"correct, right",✅,你说得很**对**。 (Nǐ shuō de hěn **duì**.) What you said is very **correct**.
chinese-essencial-in-communication-1-english-aunty,阿姨,,āyí,aunty,👵,"**阿姨**，你好！ (**Āyí**), nǐ hǎo! Hello, **aunty**!"
chinese-essencial-in-communication-1-english-how-old,多大,,duō dà,how old,❓,你**多大**了？ (Nǐ **duō dà**) le? **How old** are you?
chinese-essencial-in-communication-1-english-this,这,,zhè,this,👇,**这**是我的书。 (**Zhè**) shì wǒ de shū. **This** is my book.
chinese-essencial-in-communication-1-english-secret,秘密,,mìmì,secret,🤐,这是一个**秘密**。 (Zhè shì yí ge **mìmì**.) This is a **secret**.
chinese-essencial-in-communication-1-english-li-ming,李明,,Lǐ Míng,Li Ming,👨,**李明**是我的同学。 (**Lǐ Míng**) shì wǒ de tóngxué. **Li Ming** is my classmate.
chinese-essencial-in-communication-1-english-business-matter,事,,shì,"business, matter",📝,我有一件**事**。 (Wǒ yǒu yí jiàn **shì**.) I have a **matter**.
chinese-essencial-in-communication-1-english-to-want,想,,xiǎng,to want,💭,我**想**去北京。 (Wǒ **xiǎng**) qù Běijīng. I **want** to go to Beijing.
chinese-essencial-in-communication-1-english-to-keep-fit,健身,,jiànshēn,to keep fit,🏋️,我**健身**。 (Wǒ **jiànshēn**.) I **keep fit**.
chinese-essencial-in-communication-1-english-this-year,今年,,jīnnián,this year,📅,**今年**我十八岁。 (**Jīnnián**) wǒ shíbā suì. **This year** I am eighteen.
chinese-essencial-in-communication-1-english-female,女,,nǚ,female,♀️,她不是**女**老师。 (Tā bú shì **nǚ**) lǎoshī. She is not a **female** teacher.
chinese-essencial-in-communication-1-english-saturday,星期六,,Xīngqīliù,Saturday,🥳,我**星期六**休息。 (Wǒ **Xīngqīliù**) xiūxi. I rest on **Saturday**.
chinese-essencial-in-communication-1-english-morning-am,上午,,shàngwǔ,"morning, am",☀️,我**上午**去图书馆。 (Wǒ **shàngwǔ**) qù túshūguǎn. I go to the library in the **morning**.
chinese-essencial-in-communication-1-english-can-may,可以,,kěyǐ,"can, may",👍,你**可以**来。 (Nǐ **kěyǐ**) lái. You **can** come.
chinese-essencial-in-communication-1-english-aunt,大妈,,dàmā,aunt,👩‍🦳,**大妈**在健身。 (**Dàmā**) zài jiànshēn. The **aunt** is keeping fit.
chinese-essencial-in-communication-1-english-peking-opera,京剧,,jīngjù,Peking opera,🎭,我喜欢看**京剧**。 (Wǒ xǐhuān kàn **jīngjù**.) I like to watch **Peking opera**.
chinese-essencial-in-communication-1-english-voice,声音,,shēngyīn,voice,🎶,你的**声音**很好听。 (Nǐ de **shēngyīn**) hěn hǎotīng. Your **voice** is very pleasant to hear.
chinese-essencial-in-communication-1-english-really,真,,zhēn,really,😲,你**真**高。 (Nǐ **zhēn**) gāo. You are **really** tall.
chinese-essencial-in-communication-1-english-pleasant-to-hear-sound-nice,好听,,hǎotīng,"pleasant to hear, sound nice",👂,音乐很**好听**。 (Yīnyuè hěn **hǎotīng**.) The music is very **pleasant to hear**.
chinese-essencial-in-communication-1-english-age,年纪,,niánjì,age,👵,他的**年纪**很大。 (Tā de **niánjì**) hěn dà. His **age** is very big (he is old).
chinese-essencial-in-communication-1-english-grandmother,外婆,,wàipó,grandmother,👵,我爱我的**外婆**。 (Wǒ ài wǒ de **wàipó**.) I love my **grandmother**.
chinese-essencial-in-communication-1-english-to-take-a-look,看,,kàn,to take a look,👀,**看**这个！ (**Kàn**) zhège! **Look** at this!
chinese-essencial-in-communication-1-english-how,怎么样,,zěnmeyàng,how,🤔,你**怎么样**？ (Nǐ **zěnmeyàng**)? **How** are you?
chinese-essencial-in-communication-1-english-not-bad,不错,,búcuò,not bad,👌,我今天很**不错**。 (Wǒ jīntiān hěn **búcuò**.) I'm **not bad** today.
chinese-essencial-in-communication-1-english-foreigner,外国人,,wàiguó rén,foreigner,🌍,我不是**外国人**。 (Wǒ bú shì **wàiguó rén**.) I am not a **foreigner**.
chinese-essencial-in-communication-1-english-foreign-country,外国,,wàiguó,foreign country,✈️,我要去**外国**。 (Wǒ yào qù **wàiguó**.) I want to go to a **foreign country**.
chinese-essencial-in-communication-1-english-university,大学,,dàxué,university,🏛️,我在**大学**学习。 (Wǒ zài **dàxué**) xuéxí. I study at the **university**.
chinese-essencial-in-communication-1-english-to-learn,学习,,xuéxí,to learn,🧠,我**学习**中文。 (Wǒ **xuéxí**) Zhōngwén. I **learn** Chinese.
chinese-essencial-in-communication-1-english-male,男,,nán,male,♂️,他是**男**学生。 (Tā shì **nán**) xuéshēng. He is a **male** student.
chinese-essencial-in-communication-1-english-or,还是,,háishi,or,⚖️,你喝茶**还是**咖啡？ (Nǐ hē chá **háishi**) kāfēi? Do you drink tea **or** coffee?
chinese-essencial-in-communication-1-english-stature-height,个子,,gèzi,"stature, height",⬆️,他的**个子**很高。 (Tā de **gèzi**) hěn gāo. His **height** is very tall.
chinese-essencial-in-communication-1-english-tall,高,,gāo,tall,📏,他很**高**。 (Tā hěn **gāo**.) He is very **tall**.
chinese-essencial-in-communication-1-english-meter-measure-word,米,,mǐ,meter (measure word),📏,他有两**米**高。 (Tā yǒu liǎng **mǐ**) gāo. He is two **meters** tall.
chinese-essencial-in-communication-1-english-about-or-so-used-after-a-number,左右,,zuǒyòu,"about, or so (used after a number)",🔄,他二十岁**左右**。 (Tā èrshí suì **zuǒyòu**.) He is **about** twenty years old.
chinese-essencial-in-communication-1-english-handsome,帅,,shuài,handsome,🤩,他很**帅**。 (Tā hěn **shuài**.) He is very **handsome**.
chinese-essencial-in-communication-1-english-to-look-for,找,,zhǎo,to look for,🔎,我在**找**我的护照。 (Wǒ zài **zhǎo**) wǒ de hùzhào. I am **looking for** my passport.
chinese-essencial-in-communication-1-english-such-like-this,这样,,zhèyàng,"such, like this",👈,我喜欢**这样**做。 (Wǒ xǐhuān **zhèyàng**) zuò. I like to do it **like this**.
chinese-essencial-in-communication-1-english-boyfriend,男朋友,,nán péngyǒu,boyfriend,👫,他是我**男朋友**。 (Tā shì wǒ **nán péngyǒu**.) He is my **boyfriend**.
chinese-essencial-in-communication-1-english-miss,小姐,,xiǎojiě,miss,👸,"**小姐**，您贵姓？ (**Xiǎojiě**), nín guìxìng? **Miss**, what is your surname?"
chinese-essencial-in-communication-1-english-tired-fatigued,累,,lèi,"tired, fatigued",😴,我今天很**累**。 (Wǒ jīntiān hěn **lèi**.) I am very **tired** today.
chinese-essencial-in-communication-1-english-tomorrow,明天,,míngtiān,tomorrow,🌅,**明天**见。 (**Míngtiān**) jiàn. See you **tomorrow**.
chinese-essencial-in-communication-1-english-to-have-a-rest,休息,,xiūxi,to have a rest,🛌,我今天想**休息**。 (Wǒ jīntiān xiǎng **xiūxi**.) I want **to have a rest** today.
chinese-essencial-in-communication-1-english-to-want-to-do,要,,yào,to want (to do),🙏,我**要**去北京。 (Wǒ **yào**) qù Běijīng. I **want** to go to Beijing.
chinese-essencial-in-communication-1-english-too,太,,tài,too,😱,你**太**高了！ (Nǐ **tài**) gāo le! You are **too** tall!
chinese-essencial-in-communication-1-english-overweight,胖,,pàng,overweight,🍔,我**胖**了。 (Wǒ **pàng**) le. I am **overweight** (got fat).
chinese-essencial-in-communication-1-english-ah-modal-particle,啊,,a,ah (modal particle),😮,"好**啊**！ (Hǎo **a**) ! Good, **ah**!"
chinese-essencial-in-communication-1-english-weight,体重,,tǐzhòng,weight,⚖️,你的**体重**是多少？ (Nǐ de **tǐzhòng**) shì duōshǎo? What is your **weight**?
chinese-essencial-in-communication-1-english-kilogram-measure-word,公斤,,gōngjīn,kilogram (measure word),⚖️,我有五十五**公斤**。 (Wǒ yǒu wǔshíwǔ **gōngjīn**.) I have fifty-five **kilograms**.
chinese-essencial-in-communication-1-english-yet-still,还,,hái,"yet, still",⏳,我**还**没去。 (Wǒ **hái**) méi qù. I haven't gone **yet**.
chinese-essencial-in-communication-1-english-passable-not-bad,可以,,kěyǐ,"passable, not bad",👌,他的中文**可以**。 (Tā de Zhōngwén **kěyǐ**.) His Chinese is **passable**.
chinese-essencial-in-communication-1-english-we-us,我们,,wǒmen,"we, us",👥,**我们**去学校。 (**Wǒmen**) qù xuéxiào. **We** go to school.
chinese-essencial-in-communication-1-english-school;-university,学校,,xuéxiào,school; university,🏫,我在**学校**学习。 (Wǒ zài **xuéxiào**) xuéxí. I study at **school**.
chinese-essencial-in-communication-1-english-there-be;-to-have,有,,yǒu,there be; to have,✅,我**有**一个妹妹。 (Wǒ **yǒu**) yí ge mèimei. I **have** a younger sister.
chinese-essencial-in-communication-1-english-callisthenics,健美操,,jiànměicāo,callisthenics,🤸,我喜欢**健美操**。 (Wǒ xǐhuān **jiànměicāo**.) I like **callisthenics**.
chinese-essencial-in-communication-1-english-competition,比赛,,bǐsài,competition,🏆,我参加**比赛**。 (Wǒ cānjiā **bǐsài**.) I participate in the **competition**.
chinese-essencial-in-communication-1-english-to-participate-in,参加,,cānjiā,to participate in,🙋,我**参加**比赛。 (Wǒ **cānjiā**) bǐsài. I **participate in** the competition.
chinese-essencial-in-communication-1-english-to-act-as-to-serve-as,当,,dāng,"to act as, to serve as",🏅,我**当**老师。 (Wǒ **dāng**) lǎoshī. I **act as** a teacher.
chinese-essencial-in-communication-1-english-to-go-to,去,,qù,to go to,🚶,我**去**北京。 (Wǒ **qù**) Běijīng. I **go to** Beijing.
chinese-essencial-in-communication-1-english-to-live,住,,zhù,to live,🏡,我**住**在宿舍。 (Wǒ **zhù**) zài sùshè. I **live** in the dormitory.
chinese-essencial-in-communication-1-english-dormitory,宿舍,,sùshè,dormitory,🛌,我住在**宿舍**。 (Wǒ zhùzài **sùshè**.) I live in the **dormitory**.
chinese-essencial-in-communication-1-english-number-order,号,,hào,"number, order",#️⃣,我的房间**号**是 302。 (Wǒ de fángjiān **hào**) shì sān líng èr. My room **number** is 302.
chinese-essencial-in-communication-1-english-building,楼,,lóu,building,🏢,我在三**楼**。 (Wǒ zài sān **lóu**.) I am on the third **floor/building**.
chinese-essencial-in-communication-1-english-room,房间,,fángjiān,room,🚪,我的**房间**很大。 (Wǒ de **fángjiān**) hěn dà. My **room** is very big.
chinese-essencial-in-communication-1-english-telephone,电话,,diànhuà,telephone,📞,这是我的**电话**号码。 (Zhè shì wǒ de **diànhuà**) hàomǎ. This is my **telephone** number.
chinese-essencial-in-communication-1-english-to-meet-to-see,见,,jiàn,"to meet, to see",👋,明天**见**！ (Míngtiān **jiàn**)! **See** you tomorrow!
chinese-essencial-in-communication-1-english-hello,喂,,wèi,hello,📞,**喂**！你好！ (**Wèi**)! Nǐ hǎo! **Hello** (on the phone)!
