ID,,front/title,front/icon,front/description,,back/title,back/icon,back/description
chinese-essencial-in-communication-1-thai-to-be-surnamed,姓,姓,,xìng,to be surnamed,นามสกุล,👨‍👩‍👧,我**姓**王。 (Wǒ **xìng** Wáng.) ฉัน**นามสกุล**หวัง
chinese-essencial-in-communication-1-thai-may-i-ask...,请问,请问,,qǐngwèn,may I ask...,ขอถามหน่อย,🗣️,"**请问**，厕所在哪里？ (**Qǐngwèn**), cèsuǒ zài nǎlǐ? **ขอถามหน่อย** ห้องน้ำอยู่ที่ไหน?"
chinese-essencial-in-communication-1-thai-please,请,请,,qǐng,please,โปรด,🙏,**请**坐。 (**Qǐng**) zuò. **โปรด**นั่ง
chinese-essencial-in-communication-1-thai-to-ask,问,问,,wèn,to ask,ถาม,❓,我**问**老师一个问题。 (Wǒ **wèn** lǎoshī yí ge wèntí.) ฉัน**ถาม**คำถามครูคนหนึ่ง
chinese-essencial-in-communication-1-thai-to-know,认识,认识,,rènshi,to know,รู้จัก,👋,很高兴**认识**你。 (Hěn gāoxìng **rènshi** nǐ.) ดีใจมากที่ได้**รู้จัก**คุณ
chinese-essencial-in-communication-1-thai-very-quite,很,很,,hěn,"very, quite","มาก, ค่อนข้าง",⬆️,我**很**高兴。 (Wǒ **hěn**) gāoxìng. ฉันดีใจ**มาก**
chinese-essencial-in-communication-1-thai-happy,高兴,高兴,,gāoxìng,happy,ดีใจ,😄,我很高兴**高兴**。 (Wǒ hěn **gāoxìng**.) ฉันรู้สึก**ดีใจ**มาก
chinese-essencial-in-communication-1-thai-too-also-as-well,也,也,,yě,"too, also, as well","ด้วย, เช่นกัน, อีกด้วย",➕,我**也**是学生。 (Wǒ **yě**) shì xuéshēng. ฉันเป็นนักเรียน**ด้วย**
chinese-essencial-in-communication-1-thai-i-me,我,我,,wǒ,"I, me","ฉัน, ผม",🙋,**我**是麦克。 (**Wǒ**) shì Màikè. **ฉัน**คือไมค์
chinese-essencial-in-communication-1-thai-to-be,是,是,,shì,to be,เป็น,✅,他**是**老师。 (Tā **shì**) lǎoshī. เขา**เป็น**ครู
chinese-essencial-in-communication-1-thai-liu-shaohua,刘少华,刘少华,,Liú Shàohuá,Liu Shaohua,หลิว เส้าหัว,🇨🇳,**刘少华**是我的朋友。 (**Liú Shàohuá**) shì wǒ de péngyǒu. **หลิว เส้าหัว**เป็นเพื่อนของฉัน
chinese-essencial-in-communication-1-thai-zhao-yulan,赵玉兰,赵玉兰,,Zhào Yùlán,Zhao Yulan,จ้าว อวี้หลัน,🇨🇳,**赵玉兰**很高兴。 (**Zhào Yùlán**) hěn gāoxìng. **จ้าว อวี้หลัน**ดีใจมาก
chinese-essencial-in-communication-1-thai-mike,麦克,麦克,,Màikè,Mike,ไมค์,🇺🇸,**麦克**是学生。 (**Màikè**) shì xuéshēng. **ไมค์**เป็นนักเรียน
chinese-essencial-in-communication-1-thai-zhang-fangfang,张芳芳,张芳芳,,Zhāng Fāngfāng,Zhang Fangfang,จาง ฟางฟาง,🇨🇳,**张芳芳**姓张。 (**Zhāng Fāngfāng**) xìng Zhāng. **จาง ฟางฟาง**นามสกุลจาง
chinese-essencial-in-communication-1-thai-zhang-yuanyuan,张圆圆,张圆圆,,Zhāng Yuányuán,Zhang Yuanyuan,จาง ยวนยวน,🇨🇳,**张圆圆**也是老师。 (**Zhāng Yuányuán**) yě shì lǎoshī. **จาง ยวนยวน**เป็นครูด้วย
chinese-essencial-in-communication-1-thai-kim-taesung,金太成,金太成,,Jīn Tàichéng,Kim Taesung,คิม แทซอง,🇰🇷,**金太成**很高兴认识你。 (**Jīn Tàichéng**) hěn gāoxìng rènshi nǐ. **คิม แทซอง**ดีใจมากที่ได้รู้จักคุณ
chinese-essencial-in-communication-1-thai-yamaguchi-kazuko,山口和子,山口和子,,Shānkǒu Hézǐ,Yamaguchi Kazuko,ยามากุจิ คาซึโกะ,🇯🇵,**山口和子**是学生。 (**Shānkǒu Hézǐ**) shì xuéshēng. **ยามากุจิ คาซึโกะ**เป็นนักเรียน
chinese-essencial-in-communication-1-thai-wang-yang,王杨,王杨,,Wáng Yáng,Wang Yang,หวัง หยาง,🇨🇳,"**王杨**，你好！ (**Wáng Yáng**), nǐ hǎo! **หวัง หยาง** สวัสดี!"
chinese-essencial-in-communication-1-thai-mary,玛丽,玛丽,,Mǎlì,Mary,แมรี่,🇬🇧,**玛丽**是老师。 (**Mǎlì**) shì lǎoshī. **แมรี่**เป็นครู
chinese-essencial-in-communication-1-thai-faye,菲雅,菲雅,,Fēiyǎ,Faye,เฟย์,🇺🇸,**菲雅**不是学生。 (**Fēiyǎ**) bú shì xuéshēng. **เฟย์**ไม่ใช่ครู
chinese-essencial-in-communication-1-thai-li-dongsheng,李冬生,李冬生,,Lǐ Dōngshēng,Li Dongsheng,หลี่ ตงเซิง,🇨🇳,**李冬生**姓李。 (**Lǐ Dōngshēng**) xìng Lǐ. **หลี่ ตงเซิง**นามสกุลหลี่
chinese-essencial-in-communication-1-thai-chen-xiaohong,陈晓红,陈晓红,,Chén Xiǎohóng,Chen Xiaohong,เฉิน เสี่ยวหง,🇨🇳,**陈晓红**很高兴。 (**Chén Xiǎohóng**) hěn gāoxìng. **เฉิน เสี่ยวหง**ดีใจมาก
chinese-essencial-in-communication-1-thai-she-her,她,她,,tā,"she, her",เธอ,👩,**她**是老师。 (**Tā**) shì lǎoshī. **เธอ**เป็นครู
chinese-essencial-in-communication-1-thai-who,谁,谁,,shéi,who,ใคร,🧐,你是**谁**？ (Nǐ shì **shéi**)? คุณคือ**ใคร**?
chinese-essencial-in-communication-1-thai-he-him,他,他,,tā,"he, him",เขา,👨,**他**是学生。 (**Tā**) shì xuéshēng. **เขา**เป็นนักเรียน
chinese-essencial-in-communication-1-thai-teacher,老师,老师,,lǎoshī,teacher,ครู,🧑‍🏫,我的**老师**姓王。 (Wǒ de **lǎoshī**) xìng Wáng. **ครู**ของฉันนามสกุลหวัง
chinese-essencial-in-communication-1-thai-to-be-called-as,叫,叫,,jiào,to be called as,ชื่อว่า,🗣️,我**叫**麦克。 (Wǒ **jiào**) Màikè. ฉัน**ชื่อว่า**ไมค์
chinese-essencial-in-communication-1-thai-what,什么,什么,,shénme,what,อะไร,❓,你**叫**什么名字？ (Nǐ jiào **shénme**) míngzì? คุณชื่อ**อะไร**?
chinese-essencial-in-communication-1-thai-name,名字,名字,,míngzi,name,ชื่อ,🏷️,我的**名字**叫李冬生。 (Wǒ de **míngzi**) jiào Lǐ Dōngshēng. **ชื่อ**ของฉันคือหลี่ ตงเซิง
chinese-essencial-in-communication-1-thai-name,姓名,姓名,,xìngmíng,name,ชื่อ-นามสกุล,🏷️,我的**姓名**是李冬生。 (Wǒ de **xìngmíng**) shì Lǐ Dōngshēng. **ชื่อ-นามสกุล**ของฉันคือหลี่ ตงเซิง
chinese-essencial-in-communication-1-thai-nationality,国籍,国籍,,guójí,nationality,สัญชาติ,🌍,我的**国籍**是中国。 (Wǒ de **guójí**) shì Zhōngguó. **สัญชาติ**ของฉันคือจีน
chinese-essencial-in-communication-1-thai-again,再,再,,zài,again,"อีกครั้ง, อีกที",🔄,请**再**说一次。 (Qǐng **zài**) shuō yí cì. โปรดพูด**อีกครั้ง**
chinese-essencial-in-communication-1-thai-to-say-to-speak,说,说,,shuō,"to say, to speak","พูด, บอก",🗣️,我**说**中文。 (Wǒ **shuō**) Zhōngwén. ฉัน**พูด**ภาษาจีน
chinese-essencial-in-communication-1-thai-one,一,一,,yī,one,หนึ่ง,1️⃣,我有一个**一**。 (Wǒ yǒu **yī** ge.) ฉันมี**หนึ่ง**อัน
chinese-essencial-in-communication-1-thai-measure-times-of-actions,遍,遍,,biàn,(measure times of actions),ครั้ง (จำนวน),🔢,我再说一**遍**。 (Wǒ zài shuō yí **biàn**.) ฉันจะพูด**อีกครั้ง**
chinese-essencial-in-communication-1-thai-which;-where,哪,哪,,nǎ,which; where,"ไหน, ที่ไหน",🗺️,你是**哪**国人？ (Nǐ shì **nǎ**) guó rén? คุณเป็นคนประเทศ**ไหน**?
chinese-essencial-in-communication-1-thai-country-state,国,国,,guó,"country, state","ประเทศ, รัฐ",🌎,我爱我的**国**。 (Wǒ ài wǒ de **guó**.) ฉันรัก**ประเทศ**ของฉัน
chinese-essencial-in-communication-1-thai-people-person,人,人,,rén,"people, person","คน, ผู้คน",🧑,我是一个**人**。 (Wǒ shì **rén**.) ฉันเป็น**คน**คนหนึ่ง
chinese-essencial-in-communication-1-thai-oh-understanding,哦,哦,,ò,oh (understanding),อ๋อ,😮,"**哦**，我明白了。 (**Ò**), wǒ míngbáile. **อ๋อ** ฉันเข้าใจแล้ว"
chinese-essencial-in-communication-1-thai-indicating-a-possessive-relationship,的,的,,de,(indicating a possessive relationship),ของ,✨,这是我**的**书。 (Zhè shì wǒ **de**) shū. นี่คือหนังสือ**ของ**ฉัน
chinese-essencial-in-communication-1-thai-passport,护照,护照,,hùzhào,passport,หนังสือเดินทาง,🛂,请给我看你的**护照**。 (Qǐng gěi wǒ kàn nǐ de **hùzhào**.) โปรดแสดง**หนังสือเดินทาง**ของคุณให้ฉันดูหน่อย
chinese-essencial-in-communication-1-thai-to-give,给,给,,gěi,to give,ให้,🎁,**给**我一杯水。 (**Gěi**) wǒ yī bēi shuǐ. **ให้**น้ำฉันหนึ่งแก้ว
chinese-essencial-in-communication-1-thai-to-thank,谢谢,谢谢,,xièxie,to thank,ขอบคุณ,🙏,**谢谢**你。 (**Xièxie**) nǐ. **ขอบคุณ**นะ
chinese-essencial-in-communication-1-thai-rawson,罗森,罗森,,Luósēn,Rawson,รอว์สัน,👨,**罗森**是澳大利亚人。 (**Luósēn**) shì Àodàlìyà rén. **รอว์สัน**เป็นคนออสเตรเลีย
chinese-essencial-in-communication-1-thai-france,法国,法国,,Fǎguó,France,ฝรั่งเศส,🇫🇷,他去**法国**。 (Tā qù **Fǎguó**.) เขาไป**ฝรั่งเศส**
chinese-essencial-in-communication-1-thai-everybody,大家,大家,,dàjiā,everybody,ทุกคน,🧑‍🤝‍🧑,**大家**好！ (**Dàjiā**) hǎo! สวัสดี**ทุกคน**!
chinese-essencial-in-communication-1-thai-coach,教练,教练,,jiàoliàn,coach,โค้ช,⚽,我是足球**教练**。 (Wǒ shì zúqiú **jiàoliàn**.) ฉันเป็น**โค้ช**ฟุตบอล
chinese-essencial-in-communication-1-thai-nurse,护士,护士,,hùshi,nurse,พยาบาล,⚕️,她是一个**护士**。 (Tā shì yí ge **hùshi**.) เธอเป็น**พยาบาล**คนหนึ่ง
chinese-essencial-in-communication-1-thai-measure-word,名,名,,míng,(measure word),ท่าน,📏,请说一**名**。 (Qǐng shuō yī **míng**.) โปรดพูด**ท่าน**หนึ่ง
chinese-essencial-in-communication-1-thai-college-student,大学生,大学生,,dàxuésheng,college student,นักศึกษามหาวิทยาลัย,🎓,我是一个**大学生**。 (Wǒ shì **dàxuésheng**.) ฉันเป็น**นักศึกษามหาวิทยาลัย**
chinese-essencial-in-communication-1-thai-secretary,秘书,秘书,,mìshū,secretary,เลขานุการ,💼,他/她是我的**秘书**。 (Tā/Tā shì wǒ de **mìshū**.) เขา/เธอเป็น**เลขานุการ**ของฉัน
chinese-essencial-in-communication-1-thai-okey,好,好,,hǎo,Okey,"ดี, ตกลง, ได้",👌,"**好**，我们走吧。 (**Hǎo**), wǒmen zǒu ba. **ตกลง** เราไปกันเถอะ"
chinese-essencial-in-communication-1-thai-jane,珍妮,珍妮,,Zhēnnī,Jane,เจน,👩,**珍妮**很高兴。 (**Zhēnnī**) hěn gāoxìng. **เจน**ดีใจมาก
chinese-essencial-in-communication-1-thai-australia,澳大利亚,澳大利亚,,Àodàlìyà,Australia,ออสเตรเลีย,🇦🇺,我来自**澳大利亚**。 (Wǒ láizì **Àodàlìyà**.) ฉันมาจาก**ออสเตรเลีย**
chinese-essencial-in-communication-1-thai-germany,德国,德国,,Déguó,Germany,เยอรมนี,🇩🇪,我住在**德国**。 (Wǒ zhùzài **Déguó**.) ฉันอาศัยอยู่ที่**เยอรมนี**
chinese-essencial-in-communication-1-thai-everyday,每天,每天,,měitiān,everyday,ทุกวัน,🗓️,我**每天**工作。 (Wǒ **měitiān**) gōngzuò. ฉันทำงาน**ทุกวัน**
chinese-essencial-in-communication-1-thai-library,图书馆,图书馆,,túshūguǎn,library,ห้องสมุด,📚,我下午去**图书馆**。 (Wǒ xiàwǔ qù **túshūguǎn**.) ฉันไป**ห้องสมุด**ตอนบ่าย
chinese-essencial-in-communication-1-thai-afternoon,下午,下午,,xiàwǔ,afternoon,ตอนบ่าย,🌞,我**下午**工作。 (Wǒ **xiàwǔ**) gōngzuò. ฉันทำงาน**ตอนบ่าย**
chinese-essencial-in-communication-1-thai-to-work,工作,工作,,gōngzuò,to work,ทำงาน,👷,我**工作**很忙。 (Wǒ **gōngzuò**) hěn máng. ฉัน**ทำงาน**ยุ่งมาก
chinese-essencial-in-communication-1-thai-at-in-on,在,在,,zài,"at, in, on",ที่,📍,我**在**家。 (Wǒ **zài**) jiā. ฉันอยู่**ที่**บ้าน
chinese-essencial-in-communication-1-thai-where,哪儿,哪儿,,nǎr,where,ที่ไหน,🗺️,你**在**哪儿？ (Nǐ zài **nǎr**)? คุณอยู่**ที่ไหน**?
chinese-essencial-in-communication-1-thai-measure-word,家,家,,jiā,(measure word),แห่ง,🏠,我有五**家**公司。 (Wǒ yǒu wǔ **jiā**) gōngsī. ฉันมีบริษัทห้า**แห่ง**
chinese-essencial-in-communication-1-thai-firm-company,公司,公司,,gōngsī,"firm, company","บริษัท, ห้างหุ้นส่วน",🏢,我在**公司**工作。 (Wǒ zài **gōngsī**) gōngzuò. ฉันทำงานที่**บริษัท**
chinese-essencial-in-communication-1-thai-department-manager,部门经理,部门经理,,bùmén jīnglǐ,department manager,ผู้จัดการแผนก,🥇,我是**部门经理**。 (Wǒ shì **bùmén jīnglǐ**.) ฉันเป็น**ผู้จัดการแผนก**
chinese-essencial-in-communication-1-thai-to-do-to-make,做,做,,zuò,"to do, to make","ทำ, สร้าง",🛠️,你**做**什么工作？ (Nǐ **zuò**) shénme gōngzuò? คุณ**ทำ**งานอะไร?
chinese-essencial-in-communication-1-thai-clerk,职员,职员,,zhíyuán,clerk,พนักงาน,👨‍💻,她是一名**职员**。 (Tā shì yī míng **zhíyuán**.) เธอเป็น**พนักงาน**คนหนึ่ง
chinese-essencial-in-communication-1-thai-a-particle-used-at-the-end-of-a-question,吧,吧,,ba,a particle (used at the end of a question),"นะ, เถอะ ",💬,我们走**吧**。 (Wǒmen zǒu **ba**.) พวกเราไปกัน**เถอะ**
chinese-essencial-in-communication-1-thai-no-not,不,不,,bù,"no, not","ไม่, ไม่ใช่",❌,我**不**是老师。 (Wǒ **bù**) shì lǎoshī. ฉัน**ไม่**ใช่ครู
chinese-essencial-in-communication-1-thai-united-states-of-america-usa,美国,美国,,Měiguó,United States of America (USA),สหรัฐอเมริกา,🇺🇸,他是**美国**人。 (Tā shì **Měiguó** rén.) เขาเป็นคน**สหรัฐอเมริกา**
chinese-essencial-in-communication-1-thai-united-kingdom-uk,英国,英国,,Yīngguó,United Kingdom (UK),สหราชอาณาจักร,🇬🇧,我去过**英国**。 (Wǒ qù guo **Yīngguó**.) ฉันเคยไป**สหราชอาณาจักร**
chinese-essencial-in-communication-1-thai-japan,日本,日本,,Rìběn,Japan,ญี่ปุ่น,🇯🇵,**日本**人很高兴。 (**Rìběn**) rén hěn gāoxìng. คน**ญี่ปุ่น**ดีใจมาก
chinese-essencial-in-communication-1-thai-republic-of-korea,韩国,韩国,,Hánguó,Republic of Korea,สาธารณรัฐเกาหลี,🇰🇷,她是**韩国**人。 (Tā shì **Hánguó** rén.) เธอเป็นคน**สาธารณรัฐเกาหลี**
chinese-essencial-in-communication-1-thai-dad-father,爸爸,爸爸,,bàba,"dad, father","พ่อ, บิดา",👨‍👧,我爱我的**爸爸**。 (Wǒ ài wǒ de **bàba**.) ฉันรัก**พ่อ**ของฉัน
chinese-essencial-in-communication-1-thai-mom-mother,妈妈,妈妈,,māma,"mom, mother","แม่, มารดา",👩‍👦,我爱我的**妈妈**。 (Wǒ ài wǒ de **māma**.) ฉันรัก**แม่**ของฉัน
chinese-essencial-in-communication-1-thai-place,地方,地方,,dìfāng,place,สถานที่,🗺️,这是什么**地方**？ (Zhè shì shénme **dìfāng**)? นี่คือ**สถานที่**อะไร?
chinese-essencial-in-communication-1-thai-from,从,从,,cóng,from,จาก,⬅️,我**从**家来。 (Wǒ **cóng**) jiā lái. ฉันมา**จาก**บ้าน
chinese-essencial-in-communication-1-thai-to-come,来,来,,lái,to come,มา,➡️,你**来**这里。 (Nǐ **lái**) zhèlǐ. **มา**ที่นี่
chinese-essencial-in-communication-1-thai-but,但,但,,dàn,but,แต่,🛑,"我想去，**但**我很忙。 (Wǒ xiǎng qù, **dàn**) wǒ hěn máng. ฉันอยากไป **แต่**ฉันยุ่งมาก"
chinese-essencial-in-communication-1-thai-oh-expressing-doubt,哦,哦,,ò,oh (expressing doubt),หือ,🤨,**哦**? 真的吗？ (**Ò**)? Zhēn de ma? **หือ**? จริงหรือเปล่า?
chinese-essencial-in-communication-1-thai-beijing,北京,北京,,Běijīng,Beijing,ปักกิ่ง,🇨🇳,我明天去**北京**。 (Wǒ míngtiān qù **Běijīng**.) พรุ่งนี้ฉันไป**ปักกิ่ง**
chinese-essencial-in-communication-1-thai-shanghai,上海,上海,,Shànghǎi,Shanghai,เซี่ยงไฮ้,🇨🇳,**上海**很漂亮。 (**Shànghǎi**) hěn piàoliang. **เซี่ยงไฮ้**สวยมาก
chinese-essencial-in-communication-1-thai-guangdong,广东,广东,,Guǎngdōng,Guangdong,กวางตุ้ง,🇨🇳,我的家在**广东**。 (Wǒ de jiā zài **Guǎngdōng**.) บ้านของฉันอยู่ที่**กวางตุ้ง**
chinese-essencial-in-communication-1-thai-tokyo,东京,东京,,Dōngjīng,Tokyo,โตเกียว,🇯🇵,我想去**东京**。 (Wǒ xiǎng qù **Dōngjīng**.) ฉันอยากไป**โตเกียว**
chinese-essencial-in-communication-1-thai-london,伦敦,伦敦,,Lúndūn,London,ลอนดอน,🇬🇧,**伦敦**是英国的首都。 (**Lúndūn**) shì Yīngguó de shǒudū. **ลอนดอน**เป็นเมืองหลวงของสหราชอาณาจักร
chinese-essencial-in-communication-1-thai-china,中国,中国,,Zhōngguó,China,จีน,🇨🇳,我是**中国**人。 (Wǒ shì **Zhōngguó**) rén. ฉันเป็นคน**จีน**
chinese-essencial-in-communication-1-thai-little-friend,小朋友,小朋友,,xiǎopéngyǒu,little friend,เพื่อนตัวน้อย,👧,**小朋友**你好！ (**Xiǎopéngyǒu**) nǐ hǎo! สวัสดี**เพื่อนตัวน้อย**!
chinese-essencial-in-communication-1-thai-how-many;-several,几,几,,jǐ,how many; several,"กี่, จำนวนหนึ่ง",🔢,你有**几**本书？ (Nǐ yǒu **jǐ**) běn shū? คุณมีหนังสือ**กี่**เล่ม?
chinese-essencial-in-communication-1-thai-measure-word-used-for-age,岁,岁,,suì,"(measure word, used for age)",ขวบ,🎂,你多大**岁**了？ (Nǐ duō dà **suì**) le? คุณอายุ**กี่ขวบ**แล้ว?
chinese-essencial-in-communication-1-thai-to-guess,猜,猜,,cāi,to guess,เดา,🤫,你**猜**我是谁？ (Nǐ **cāi**) wǒ shì shéi? **เดา**สิว่าฉันเป็นใคร?
chinese-essencial-in-communication-1-thai-correct-right,对,对,,duì,"correct, right","ถูกต้อง, ถูก",✅,你说得很**对**。 (Nǐ shuō de hěn **duì**.) สิ่งที่คุณพูด**ถูกต้อง**มาก
chinese-essencial-in-communication-1-thai-aunty,阿姨,阿姨,,āyí,aunty,คุณป้า,👵,"**阿姨**，你好！ (**Āyí**), nǐ hǎo! **คุณป้า** สวัสดีค่ะ!"
chinese-essencial-in-communication-1-thai-how-old,多大,多大,,duō dà,how old,อายุเท่าไหร่,❓,你**多大**了？ (Nǐ **duō dà**) le? คุณ**อายุเท่าไหร่**แล้ว?
chinese-essencial-in-communication-1-thai-this,这,这,,zhè,this,นี่,👇,**这**是我的书。 (**Zhè**) shì wǒ de shū. **นี่**คือหนังสือของฉัน
chinese-essencial-in-communication-1-thai-secret,秘密,秘密,,mìmì,secret,ความลับ,🤐,这是一个**秘密**。 (Zhè shì yí ge **mìmì**.) นี่คือ**ความลับ**หนึ่งอย่าง
chinese-essencial-in-communication-1-thai-li-ming,李明,李明,,Lǐ Míng,Li Ming,หลี่ หมิง,👨,**李明**是我的同学。 (**Lǐ Míng**) shì wǒ de tóngxué. **หลี่ หมิง**เป็นเพื่อนร่วมชั้นของฉัน
chinese-essencial-in-communication-1-thai-business-matter,事,事,,shì,"business, matter","ธุระ, เรื่อง",📝,我有一件**事**。 (Wǒ yǒu yí jiàn **shì**.) ฉันมี**ธุระ**หนึ่งอย่าง
chinese-essencial-in-communication-1-thai-to-want,想,想,,xiǎng,to want,อยากจะ,💭,我**想**去北京。 (Wǒ **xiǎng**) qù Běijīng. ฉัน**อยากจะ**ไปปักกิ่ง
chinese-essencial-in-communication-1-thai-to-keep-fit,健身,健身,,jiànshēn,to keep fit,ออกกำลังกาย,🏋️,我**健身**。 (Wǒ **jiànshēn**.) ฉัน**ออกกำลังกาย**
chinese-essencial-in-communication-1-thai-this-year,今年,今年,,jīnnián,this year,ปีนี้,📅,**今年**我十八岁。 (**Jīnnián**) wǒ shíbā suì. **ปีนี้**ฉันอายุสิบแปด
chinese-essencial-in-communication-1-thai-female,女,女,,nǚ,female,ผู้หญิง,♀️,她不是**女**老师。 (Tā bú shì **nǚ**) lǎoshī. เธอไม่ใช่ครู**ผู้หญิง**
chinese-essencial-in-communication-1-thai-saturday,星期六,星期六,,Xīngqīliù,Saturday,วันเสาร์,🥳,我**星期六**休息。 (Wǒ **Xīngqīliù**) xiūxi. ฉันพักผ่อน**วันเสาร์**
chinese-essencial-in-communication-1-thai-morning-am,上午,上午,,shàngwǔ,"morning, am","ตอนเช้า, ช่วงเช้า",☀️,我**上午**去图书馆。 (Wǒ **shàngwǔ**) qù túshūguǎn. ฉันไปห้องสมุด**ตอนเช้า**
chinese-essencial-in-communication-1-thai-can-may,可以,可以,,kěyǐ,"can, may","สามารถ, ได้",👍,你**可以**来。 (Nǐ **kěyǐ**) lái. คุณ**สามารถ**มาได้
chinese-essencial-in-communication-1-thai-aunt,大妈,大妈,,dàmā,aunt,คุณน้า,👩‍🦳,**大妈**在健身。 (**Dàmā**) zài jiànshēn. **คุณน้า**กำลังออกกำลังกาย
chinese-essencial-in-communication-1-thai-peking-opera,京剧,京剧,,jīngjù,Peking opera,อุปรากรปักกิ่ง (งิ้วปักกิ่ง),🎭,我喜欢看**京剧**。 (Wǒ xǐhuān kàn **jīngjù**.) ฉันชอบดู**อุปรากรปักกิ่ง**
chinese-essencial-in-communication-1-thai-voice,声音,声音,,shēngyīn,voice,เสียง,🎶,你的**声音**很好听。 (Nǐ de **shēngyīn**) hěn hǎotīng. **เสียง**ของคุณเพราะมาก
chinese-essencial-in-communication-1-thai-really,真,真,,zhēn,really,จริงๆ,😲,你**真**高。 (Nǐ **zhēn**) gāo. คุณสูง**จริงๆ**
chinese-essencial-in-communication-1-thai-pleasant-to-hear-sound-nice,好听,好听,,hǎotīng,"pleasant to hear, sound nice","ไพเราะ, ฟังเพลิน",👂,音乐很**好听**。 (Yīnyuè hěn **hǎotīng**.) เพลง**ไพเราะ**มาก
chinese-essencial-in-communication-1-thai-age,年纪,年纪,,niánjì,age,อายุ,👵,他的**年纪**很大。 (Tā de **niánjì**) hěn dà. **อายุ**ของเขามากแล้ว
chinese-essencial-in-communication-1-thai-grandmother,外婆,外婆,,wàipó,grandmother,คุณยาย,👵,我爱我的**外婆**。 (Wǒ ài wǒ de **wàipó**.) ฉันรัก**คุณยาย**ของฉัน
chinese-essencial-in-communication-1-thai-to-take-a-look,看,看,,kàn,to take a look,ดู,👀,**看**这个！ (**Kàn**) zhège! **ดู**นี่สิ!
chinese-essencial-in-communication-1-thai-how,怎么样,怎么样,,zěnmeyàng,how,เป็นอย่างไร,🤔,你**怎么样**？ (Nǐ **zěnmeyàng**)? คุณ**เป็นอย่างไร**บ้าง?
chinese-essencial-in-communication-1-thai-not-bad,不错,不错,,búcuò,not bad,ไม่เลว,👌,我今天很**不错**。 (Wǒ jīntiān hěn **búcuò**.) วันนี้ฉัน**ไม่เลว**เลย
chinese-essencial-in-communication-1-thai-foreigner,外国人,外国人,,wàiguó rén,foreigner,ชาวต่างชาติ,🌍,我不是**外国人**。 (Wǒ bú shì **wàiguó rén**.) ฉันไม่ใช่**ชาวต่างชาติ**
chinese-essencial-in-communication-1-thai-foreign-country,外国,外国,,wàiguó,foreign country,ต่างประเทศ,✈️,我要去**外国**。 (Wǒ yào qù **wàiguó**.) ฉันอยากไป**ต่างประเทศ**
chinese-essencial-in-communication-1-thai-university,大学,大学,,dàxué,university,มหาวิทยาลัย,🏛️,我在**大学**学习。 (Wǒ zài **dàxué**) xuéxí. ฉันเรียนที่**มหาวิทยาลัย**
chinese-essencial-in-communication-1-thai-to-learn,学习,学习,,xuéxí,to learn,เรียน,🧠,我**学习**中文。 (Wǒ **xuéxí**) Zhōngwén. ฉัน**เรียน**ภาษาจีน
chinese-essencial-in-communication-1-thai-male,男,男,,nán,male,ผู้ชาย,♂️,他是**男**学生。 (Tā shì **nán**) xuéshēng. เขาเป็นนักเรียน**ผู้ชาย**
