ID,front/title,front/icon,front/description,back/title,,,back/icon,back/description
ielts-by-category-education-early-childhood-education,Early childhood education,,ˈɜːrli ˈtʃaɪldhʊd ˌɛdʒuˈkeɪʃən,n. การศึกษาปฐมวัย,n,การศึกษาปฐมวัย,👶,**Education** is key to a brighter future.
ielts-by-category-education-global-citizenship,Global citizenship,,/ˈɡloʊbəl ˈsɪtɪzənˌʃɪp/,n. พลเมืองโลก,n,พลเมืองโลก,🌍,**Global citizenship** emphasizes our shared responsibility for the world.
ielts-by-category-education-guided-learning,Guided learning,,ˈɡaɪdɪd ˈlɜːrnɪŋ,n. การเรียนรู้แบบมีผู้ชี้แนะ,n,การเรียนรู้แบบมีผู้ชี้แนะ,👩‍🏫,The teacher used **guided learning** to help the students understand the difficult concept.
ielts-by-category-education-inclusive-education,Inclusive education,,/ɪnˈkluːsɪv ˌɛdʒuˈkeɪʃən/,n. การศึกษาแบบเรียนร่วม,n,การศึกษาแบบเรียนร่วม,🤝,"**Inclusive education** ensures that all students, regardless of their abilities or backgrounds, have access to quality learning opportunities."
ielts-by-category-education-lifelong-learning,Lifelong learning,,/ˈlaɪflɒŋ ˈlɜːrnɪŋ/,n. การเรียนรู้ตลอดชีวิต,n,การเรียนรู้ตลอดชีวิต,📚,**Lifelong learning** is essential for personal and professional growth.
ielts-by-category-education-problem-solving,Problem-solving,,/ˈprɒbləm ˈsɒlvɪŋ/,n. การแก้ปัญหา,n,การแก้ปัญหา,💡,**Problem-solving** is a valuable skill in any profession.
ielts-by-category-education-resilience,Resilience,,/rɪˈzɪliəns/,n. ความยืดหยุ่น,n,ความยืดหยุ่น,💪,Her **resilience** helped her overcome the challenges.
ielts-by-category-education-pedagogical-experts,Pedagogical (experts),,/ˌpɛdəˈɡɒdʒɪkəl/ (/ˈɛkspɜːrts/),adj. การสอน (ผู้เชี่ยวชาญ),adj,การสอน (ผู้เชี่ยวชาญ),👩‍🏫,The school implemented **pedagogical** reforms to improve teaching methods.
ielts-by-category-education-master’s-degree,Master’s Degree,,ˈmæstərz dɪˈɡriː,n. ปริญญาโท,n,ปริญญาโท,🎓,She believes that **education** is key to success.
ielts-by-category-education-bookworm,Bookworm,,/ˈbʊkˌwɜrm/,n. หนอนหนังสือ,n,หนอนหนังสือ,🐛,My sister is such a **Bookworm**; she reads at least three books a week.
ielts-by-category-education-technology-integration,Technology integration,,tɛkˈnɒlədʒi ˌɪntɪˈɡreɪʃən,n. การบูรณาการเทคโนโลยี,n,การบูรณาการเทคโนโลยี,💻,**Technology integration** in the classroom can greatly enhance the learning experience.
ielts-by-category-education-twenty-first-century-skills,Twenty-first century skills,,ˈtwɛnti fɜrst ˈsɛntʃəri skɪlz,n. ทักษะแห่งศตวรรษที่ 21,n,ทักษะแห่งศตวรรษที่ 21,📚,**Twenty-first century skills** are essential for success in today's world.
ielts-by-category-education-hit-the-books,Hit the Books,,/hɪt ðə bʊks/,v. อ่านหนังสือ,v,อ่านหนังสือ,📚,I need to **Hit the Books** tonight for my final exam.
ielts-by-category-education-continuous-assessment,Continuous assessment,,kənˈtɪnjuəs əˈsɛsmənt,n. การประเมินอย่างต่อเนื่อง,n,การประเมินอย่างต่อเนื่อง,🔄,The teacher uses **continuous assessment** to monitor student progress throughout the semester.
