ID,front/title,front/icon,front/description,back/title,,,back/icon,back/description
ielts-by-category-business-idea,Idea,,/aɪˈdiːə/,n. แนวคิด,n,แนวคิด,💡,That's a great **Idea**.
ielts-by-category-business-investment,Investment,,/ɪnˈvɛstmənt/,n. การลงทุน,n,การลงทุน,💰,A wise **investment** in education can lead to a brighter future.
ielts-by-category-business-job,Job,,/dʒɒb/,n. งาน,n,งาน,💼,My **Job** is to write.
ielts-by-category-business-leadership,Leadership,,ˈliːdərʃɪp,n. ความเป็นผู้นำ,n,ความเป็นผู้นำ,👑,Effective **Leadership** is crucial for team success.
ielts-by-category-business-management,Management,,ˈmænɪdʒmənt,n. การจัดการ,n,การจัดการ,💼,The project requires **effective** management.
ielts-by-category-business-market,Market,,ˈmɑːrkɪt,n. ตลาด,n,ตลาด,🛒,The **Market** is expected to open at 9 AM tomorrow.
ielts-by-category-business-marketing,Marketing,,ˈmɑːrkɪtɪŋ,n. การตลาด,n,การตลาด,📈,**Marketing** is crucial for business growth.
ielts-by-category-business-negotiation,Negotiation,,nɪˌɡoʊʃiˈeɪʃən,n. การเจรจา,n,การเจรจา,🤝,The business deal required careful **negotiation** between the two parties.
ielts-by-category-business-network,Network,,ˈnɛtwɜːrk,n. เครือข่าย,n,เครือข่าย,🌐,The company's **network** extends globally.
ielts-by-category-business-objective,Objective,,/əbˈdʒɛktɪv/,n. วัตถุประสงค์,n,วัตถุประสงค์,🎯,My main **objective** is to finish this project by Friday.
ielts-by-category-business-partnership,Partnership,,/ˈpɑːrtnərʃɪp/,n. ห้างหุ้นส่วน,n,ห้างหุ้นส่วน,🤝,Their **partnership** led to a successful business venture.
ielts-by-category-business-performance,Performance,,pərˈfɔːrməns,n. ประสิทธิภาพ,n,ประสิทธิภาพ,📊,The **performance** of the new engine was exceptional.
ielts-by-category-business-presentation,Presentation,,/ˌprɛzənˈteɪʃən/,n. การนำเสนอ,n,การนำเสนอ,🗣️,The **presentation** was very informative.
ielts-by-category-business-product,Product,,/ˈprɒdʌkt/,n. สินค้า,n,สินค้า,📦,Please pass me the **salt**.
ielts-by-category-business-profit,Profit,,ˈprɒfɪt,n. กำไร,n,กำไร,💰,The cat jumped over the **fence**.
ielts-by-category-business-quality,Quality,,ˈkwɒlɪti,n. คุณภาพ,n,คุณภาพ,⭐,The company prioritizes **Quality** in all its products.
ielts-by-category-business-research,Research,,ˈriːsɜːtʃ,n. งานวิจัย,n,งานวิจัย,🔬,She conducted extensive **Research** for her thesis.
ielts-by-category-business-revenue,Revenue,,ˈrɛvənuː,n. รายได้,n,รายได้,💸,The company's **Revenue** increased last quarter.
ielts-by-category-business-risk,Risk,,/rɪsk/,n. ความเสี่ยง,n,ความเสี่ยง,⚠️,**Risk** is an inherent part of investing.
ielts-by-category-business-salary,Salary,,ˈsæləri,n. เงินเดือน,n,เงินเดือน,💰,His monthly **salary** is due on the 15th.
ielts-by-category-business-sales,Sales,,seɪlz,n. การขาย,n,การขาย,💰,Please **confirm** your attendance by Friday.
ielts-by-category-business-service,Service,,/ˈsɜːrvɪs/,n. บริการ,n,บริการ,🤝,Excellent customer **service** is crucial for customer satisfaction.
ielts-by-category-business-skill,Skill,,skɪl,n. ทักษะ,n,ทักษะ,💪,She demonstrated great **skill** in playing the piano.
ielts-by-category-business-strategy,Strategy,,ˈstrætədʒi,n. กลยุทธ์,n,กลยุทธ์,📊,Our **Strategy** for success is to work together.
ielts-by-category-business-supplier,Supplier,,səˈplaɪər,n. ผู้จัดหา,n,ผู้จัดหา,🚚,Our primary **supplier** provides all of our raw materials.
ielts-by-category-business-target,Target,,ˈtɑːrɡɪt,n. เป้าหมาย,n,เป้าหมาย,🎯,We need to set a clear **Target** for our sales goals this quarter.
ielts-by-category-business-team,Team,,/tiːm/,n. ทีม,n,ทีม,👥,The **Team** worked together to complete the project on time.
ielts-by-category-business-technology,Technology,,tɛkˈnɒlədʒi,n. เทคโนโลยี,n,เทคโนโลยี,💻,The cat **quickly** ran across the yard.
ielts-by-category-business-time-management,Time management,,/taɪm ˈmænɪdʒmənt/,n. การบริหารเวลา,n,การบริหารเวลา,⏰,Effective **Time management** is crucial for productivity.
ielts-by-category-business-training,Training,,ˈtreɪnɪŋ,n. การฝึกอบรม,n,การฝึกอบรม,🏋️,The **Training** session was very informative.
ielts-by-category-business-value,Value,,/ˈvæl.juː/,n. มูลค่า,n,มูลค่า,💎,Please **confirm** your availability.
ielts-by-category-business-vision,Vision,,ˈvɪʒən,n. วิสัยทัศน์,n,วิสัยทัศน์,👁️,The company's **Vision** for the future includes expanding into new markets.
