ID,front/title,front/icon,front/description,back/title,,,back/icon,back/description
ielts-by-category-health-blood-clot,Blood clot,,blʌd klɒt,n. ลิ่มเลือด,n,ลิ่มเลือด,🚫,The doctor explained that a **blood clot** can be a serious medical condition.
ielts-by-category-health-brain-injury,Brain injury,,/bɹeɪn ˈɪndʒəɹi/,n. การบาดเจ็บทางสมอง,n,การบาดเจ็บทางสมอง,🤕,A **brain injury** can have lasting effects.
ielts-by-category-health-cancer-screening,Cancer screening,,ˈkænsər ˈskriːnɪŋ,n. การตรวจคัดกรองมะเร็ง,n,การตรวจคัดกรองมะเร็ง,🩺,Regular exercise is good for your **Health**.
ielts-by-category-health-chronic-illness,Chronic illness,,ˈkrɒnɪk ˈɪlnəs,n. โรคเรื้อรัง,n,โรคเรื้อรัง,🤒,His **chronic illness** made daily activities difficult.
ielts-by-category-health-clinical-trial,Clinical trial,,/ˈklɪnɪkəl ˈtraɪəl/,n. การทดลองทางคลินิก,n,การทดลองทางคลินิก,🩺,The patient enrolled in a **clinical trial** for a new cancer treatment.
ielts-by-category-health-concussion,Concussion,,kənˈkʌʃən,n. สมองกระทบกระเทือน,n,สมองกระทบกระเทือน,🤕,The player suffered a **concussion** after a hard hit.
ielts-by-category-health-dental-checkup,Dental checkup,,/ˈdɛntəl ˈtʃɛkʌp/,n. ตรวจสุขภาพฟัน,n,ตรวจสุขภาพฟัน,🦷,I need to schedule a **dental checkup** soon.
ielts-by-category-health-dependency,Dependency,,dɪˈpɛndənsi,n. การพึ่งพา,n,การพึ่งพา,🔗,The project's success has a strong **dependency** on team collaboration.
ielts-by-category-health-dermatitis,Dermatitis,,/ˌdɜːrməˈtaɪtɪs/,n. ผิวหนังอักเสบ,n,ผิวหนังอักเสบ,🤚,The doctor diagnosed the patient with **dermatitis** after examining the skin rash.
ielts-by-category-health-dietary-supplement,Dietary supplement,,ˈdaɪətɛri ˈsʌplɪmənt,n. ผลิตภัณฑ์เสริมอาหาร,n,ผลิตภัณฑ์เสริมอาหาร,💊,I take a **dietary supplement** every morning.
ielts-by-category-health-ear-infection,Ear infection,,ɪər ɪnˈfɛkʃən,n. หูอักเสบ,n,หูอักเสบ,👂,She had an **ear infection** that required antibiotics.
ielts-by-category-health-fatigue,Fatigue,,fəˈtiɡ,n. ความเหนื่อยล้า,n,ความเหนื่อยล้า,😴,The athlete experienced **fatigue** after the intense workout.
ielts-by-category-health-feverish,Feverish,,ˈfiːvərɪʃ,adj. เป็นไข้,adj,เป็นไข้,🤒,He felt **feverish** after a long day in the sun.
ielts-by-category-health-food-poisoning,Food poisoning,,/ˈfuːd ˈpɔɪzənɪŋ/,n. อาหารเป็นพิษ,n,อาหารเป็นพิษ,🤢,"After eating the undercooked chicken, she suffered from **Food poisoning**."
ielts-by-category-health-fracture,Fracture,,[ˈfræktʃər],n. กระดูกหัก,n,กระดูกหัก,🦴,The doctor confirmed a **fracture** in her wrist.
ielts-by-category-health-genetic-disorder,Genetic disorder,,/dʒəˈnɛtɪk dɪsˈɔrdər/,n. โรคทางพันธุกรรม,n,โรคทางพันธุกรรม,🧬,Cystic fibrosis is a common **genetic disorder**.
ielts-by-category-health-hair-loss,Hair loss,,hɛr lɔs,n. ผมร่วง,n,ผมร่วง,👴,**Hair loss** can be a concern for many people.
ielts-by-category-health-headache,Headache,,ˈhɛdeɪk,n. ปวดหัว,n,ปวดหัว,🤕,I have a terrible **headache** after staring at the screen all day.
ielts-by-category-health-hearing-loss,Hearing loss,,ˈhɪərɪŋ lɔs,n. หูหนวก,n,หูหนวก,🧏‍♀️,Protect your ears to prevent **Hearing loss**.
ielts-by-category-health-high-blood-pressure,High blood pressure,,haɪ blʌd ˈprɛʃər,n. ความดันโลหิตสูง,n,ความดันโลหิตสูง,❤️,**Health** is important for a long life.
ielts-by-category-health-immune-system-deficiency,Immune system deficiency,,/ɪˈmjuːn ˈsɪstəm dɪˈfɪʃənsi/,n. ภูมิคุ้มกันบกพร่อง,n,ภูมิคุ้มกันบกพร่อง,🤧,She was diagnosed with **Immune system deficiency** after recurrent infections.
ielts-by-category-health-infant-mortality-rate,Infant mortality rate,,ˈɪnfənt mɔːrˈtælɪti reɪt,n. อัตราการตายของทารก,n,อัตราการตายของทารก,⚕️,The **infant mortality rate** has decreased significantly over the last decade.
ielts-by-category-health-joint-pain,Joint pain,,dʒɔɪnt peɪn,n. ปวดข้อ,n,ปวดข้อ,🦴,She experiences **joint pain** in her knees after long walks.
ielts-by-category-health-kidney-stones,Kidney stones,,ˈkɪdni stoʊnz,n. นิ่วในไต,n,นิ่วในไต,🪨,The patient was diagnosed with **Kidney stones**.
ielts-by-category-health-life-expectancy,Life expectancy,,/laɪf ɪkˈspɛktənsi/,n. อายุขัย,n,อายุขัย,❤️,The average **Life expectancy** in Japan is among the highest in the world.
ielts-by-category-health-malaria,Malaria,,məˈlɛəriə,n. มาลาเรีย,n,มาลาเรีย,🦟,The **Malaria** parasite is transmitted through mosquito bites.
ielts-by-category-health-mental-health-disorder,Mental health disorder,,ˈmɛntəl hɛlθ dɪsˈɔːrdər,n. ความผิดปกติทางจิต,n,ความผิดปกติทางจิต,🧠,He felt a surge of **joy** as he crossed the finish line.
ielts-by-category-health-migraine,Migraine,,ˈmaɪɡreɪn,n. ไมเกรน,n,ไมเกรน,🤕,I had a **migraine** yesterday.
ielts-by-category-health-muscle-strain,Muscle strain,,ˈmʌsl streɪn,n. กล้ามเนื้ออักเสบ,n,กล้ามเนื้ออักเสบ,🤕,He experienced a **muscle strain** after lifting heavy weights.
ielts-by-category-health-nearsightedness,Nearsightedness,,/ˈnɪərˌsaɪtɪdnəs/,n. สายตาสั้น,n,สายตาสั้น,🤓,My **nearsightedness** makes it hard to see distant objects clearly.
ielts-by-category-health-oral-cancer,Oral cancer,,ˈɔːrəl ˈkænsər,n. มะเร็งช่องปาก,n,มะเร็งช่องปาก,😷,Early detection of **oral cancer** can significantly improve treatment outcomes.
ielts-by-category-health-panic-attack,Panic attack,,ˈpænɪk əˈtæk,n. แพนิค,n,แพนิค,😱,She felt a sudden **panic attack** before her presentation.
ielts-by-category-health-physical-therapy,Physical therapy,,ˈfɪzɪkəl ˈθɛrəpi,n. กายภาพบำบัด,n,กายภาพบำบัด,💪,He underwent a rigorous course of **Physical therapy** to regain strength in his knee.
ielts-by-category-health-preventive-care,Preventive care,,/prɪˈvɛntɪv kɛər/,n. การดูแลป้องกัน,n,การดูแลป้องกัน,🩺,**Preventive care** is essential for maintaining good health.
ielts-by-category-health-radiation-therapy,Radiation therapy,,ˌreɪdiˈeɪʃən ˈθɛrəpi,n. รังสีรักษา,n,รังสีรักษา,☢️,She underwent **Radiation therapy** for cancer treatment.
ielts-by-category-health-skin-cancer,Skin cancer,,skɪn ˈkænsər,n. มะเร็งผิวหนัง,n,มะเร็งผิวหนัง,🎗️,Early detection of **Skin cancer** is crucial for successful treatment.
ielts-by-category-health-sleep-apnea,Sleep apnea,,/ˈsliːp ˈæpniə/,n. ภาวะหยุดหายใจขณะหลับ,n,ภาวะหยุดหายใจขณะหลับ,😴,**Sleep apnea** can lead to restless nights.
ielts-by-category-health-sore-throat,Sore throat,,/sɔːr θroʊt/,n. เจ็บคอ,n,เจ็บคอ,🤒,I woke up with a bad **sore throat** this morning.
ielts-by-category-health-stroke,Stroke,,stroʊk,n. โรคหลอดเลือดสมอง,n,โรคหลอดเลือดสมอง,🤕,A **stroke** can have devastating effects on the brain.
ielts-by-category-health-sunburn,Sunburn,,ˈsʌnbɜːrn,n. ผิวไหม้แดด,n,ผิวไหม้แดด,🥵,"After a long day at the beach, I got a terrible **sunburn**."
ielts-by-category-health-vaccination,Vaccination,,/ˌvæksɪˈneɪʃən/,n. การฉีดวัคซีน,n,การฉีดวัคซีน,💉,The annual **vaccination** drive helps protect the community.
ielts-by-category-health-weight-loss,Weight loss,,/weɪt lɔs/,n. ลดน้ำหนัก,n,ลดน้ำหนัก,⚖️,She found that consistent exercise was key for successful **Weight loss**.
ielts-by-category-health-wound-infection,Wound infection,,wuːnd ɪnˈfɛkʃən,n. แผลติดเชื้อ,n,แผลติดเชื้อ,🤕,The patient developed a **wound infection** after surgery.
